NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
The Salt Cafe Kitchen & Bar,1000,"North Indian,Continental,Italian",Agra,Tajganj,Casual Dining,Excellent,4.8,273
Bhagat Halwai,300,"Desserts,Bakery,Fast Food,South Indian",Agra,Civil Lines,Quick Bites,Very Good,4.3,554
Bikanervala,700,"North Indian,South Indian,Mithai,Street Food,Desserts",Agra,Khandari,Quick Bites,Very Good,4.4,645
Mama Chicken Mama Franky House,600,"North Indian,Mughlai,Rolls,Chinese,Fast Food,Street Food",Agra,Agra Cantt,Quick Bites,Very Good,4.3,894
Honeydew Restaurant,500,"North Indian,Fast Food,Chinese,South Indian",Agra,Dayal Bagh,Quick Bites,Very Good,4.1,489
Cafe Turquoise Cottage,1600,"North Indian,Chinese,Continental,Italian,Pizza",Agra,Tajganj,Casual Dining,Excellent,4.7,294
Hichkee,1200,"Continental,North Indian,Chinese",Agra,Civil Lines,Casual Dining,Very Good,4.4,581
Domino's Pizza,700,"Pizza,Fast Food",Agra,Civil Lines,Quick Bites,Good,3.9,583
Urban Deck,1000,"Mexican,Italian,North Indian",Agra,Khandari,Casual Dining,Very Good,4.3,608
Pinch Of Spice,1600,"North Indian,Chinese,Mughlai",Agra,Civil Lines,Casual Dining,Excellent,4.5,863
Pizza Hut,700,"Italian,Pizza",Agra,Tajganj,Casual Dining,Very Good,4.0,547
Aahar,700,"North Indian,South Indian,Chinese,Bakery,Momos",Agra,Civil Lines,Casual Dining,Very Good,4.0,368
Tea'se Me - Rooftop Tea Boutique,1000,"Chinese,Italian,Continental,North Indian",Agra,Tajganj,Casual Dining,Excellent,4.7,676
Shree Balaji Family Restaurant,400,"North Indian,South Indian,Fast Food",Agra,Sikandra,Quick Bites,Good,3.8,254
GMB - Gopika Sweets & Restaurant,400,"Desserts,North Indian,South Indian,Chinese,Fast Food,Street Food",Agra,Tajganj,Casual Dining,Very Good,4.1,279
Kings Pizza And Burger,200,Fast Food,Agra,Kamla Nagar,Quick Bites,Good,3.5,40
RS Sweets & Restaurant,650,"North Indian,South Indian",Agra,Dayal Bagh,Casual Dining,Good,3.7,79
