NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Eat Punjab,750,"North Indian,Chinese,Fast Food",Ahmedabad,Chandkheda,Casual Dining,Good,3.7,1345
9834 The Fruit Truck,400,"Beverages,Desserts",Ahmedabad,Food Truck Park,Food Truck,Very Good,4.4,561
The Esplendido Cafe,800,"Cafe,American,Italian,Chinese,Beverages",Ahmedabad,Navrangpura,Café,Very Good,4.4,1013
Makeba - The Lounge Cafe,1000,"Cafe,Italian,Mexican,Healthy Food",Ahmedabad,Vastrapur,Café,Very Good,4.2,399
Honest,700,"North Indian,South Indian,Fast Food,Chinese",Ahmedabad,Prahlad Nagar,Casual Dining,Good,3.9,832
The Cafe Baraco,1000,"Cafe,Italian",Ahmedabad,Navrangpura,Café,Very Good,4.3,1535
Huber & Holly,800,"Cafe,Desserts",Ahmedabad,Bodakdev,Café,Excellent,4.8,1415
I Love Sandwich House,900,"Cafe,Sandwich",Ahmedabad,Bodakdev,Café,Very Good,4.2,1109
Bogarosa,800,"Continental,North Indian",Ahmedabad,Bodakdev,Casual Dining,Very Good,4.1,1156
Parosa,800,"Italian,Mexican,North Indian",Ahmedabad,Bodakdev,Casual Dining,Very Good,4.1,795
Mocha,800,"Cafe,Italian",Ahmedabad,C G Road,Café,Very Good,4.4,970
Tea Villa Cafe,1000,"Cafe,Italian,Continental",Ahmedabad,Navrangpura,Café,Very Good,4.1,718
Unlocked,1000,"Cafe,Italian,European,Continental",Ahmedabad,Navrangpura,Café,Very Good,4.3,1253
And Me Cafe,1000,"Cafe,Fast Food",Ahmedabad,Bodakdev,Café,Very Good,4.0,305
Anjoy Latenight Meals,500,"North Indian,Fast Food",Ahmedabad,Vastrapur,none,Very Good,4.3,1158
Khush Maza,450,North Indian,Ahmedabad,Gurukul,none,Very Good,4.2,224
Purohit Restaurant,550,"South Indian,North Indian,Fast Food",Ahmedabad,Mani Nagar,Casual Dining,Very Good,4.1,253
Legends Of Punjab - By Pepperazi,700,"North Indian,Italian,BBQ,Mexican,Thai",Ahmedabad,Gulbai Tekra,Casual Dining,Very Good,4.1,222
Las Vegas Waffwich & Hunger Cafe,300,"Desserts,Cafe",Ahmedabad,Navrangpura,Dessert Parlor,Very Good,4.1,76
Jay Nilkanth Food,400,"North Indian,Chinese",Ahmedabad,Navrangpura,Quick Bites,Average,3.1,1350
Bistro 61,800,"North Indian,Continental,Mexican,Chinese",Ahmedabad,Vastrapur,Casual Dining,Average,2.8,313
The Red Bistro,1400,"Mexican,Italian,North Indian",Ahmedabad,Bodakdev,Casual Dining,Excellent,4.6,494
La Pino'z Pizza,500,Pizza,Ahmedabad,Bodakdev,Quick Bites,Excellent,4.5,2330
Sigdi Restaurant,600,"North Indian,Mughlai,Chinese",Ahmedabad,Sarkhej,Casual Dining,Good,3.8,231
Shree Annpurna,500,"North Indian,Chinese",Ahmedabad,Mani Nagar,Casual Dining,Very Good,4.1,1799
Kadak Bhagat,1000,"North Indian,Chinese,Fast Food",Ahmedabad,Prahlad Nagar,Casual Dining,Excellent,4.6,449
The VJ Cafe,300,Cafe,Ahmedabad,Memnagar,Café,Good,3.7,147
Swati Snacks,600,"Fast Food,Street Food,South Indian",Ahmedabad,Ellis Bridge,Quick Bites,Excellent,4.6,1302
The Pizza Dome,400,Pizza,Ahmedabad,Vastrapur,Quick Bites,Good,3.8,174
The Bombay Churros,300,Desserts,Ahmedabad,Bodakdev,Dessert Parlor,Very Good,4.3,116
Fix Box,400,North Indian,Ahmedabad,Bopal,Quick Bites,Average,2.9,11
TIFFIN 4 U,250,Gujarati,Ahmedabad,Satellite,none,Average,3.0,10
Munchies,350,"North Indian,Chinese",Ahmedabad,Satellite,Quick Bites,Not rated,-,-
Shree Ganesh,150,South Indian,Ahmedabad,C G Road,Quick Bites,Average,3.0,4
Manju's - The Art of Cooking,500,Bakery,Ahmedabad,Navrangpura,Bakery,Average,3.2,4
Meal Man,200,Gujarati,Ahmedabad,Thaltej,none,Average,3.2,10
Gujju's Tiffin Point,300,"North Indian,Gujarati",Ahmedabad,Chandkheda,Quick Bites,Average,3.1,11
Unity Cafe,500,North Indian,Ahmedabad,C G Road,Casual Dining,Average,3.0,4
Sugar Bunnies,400,"Bakery,Desserts",Ahmedabad,Navrangpura,Bakery,Average,3.1,6
Brownie's,300,"Bakery,Fast Food",Ahmedabad,Prahlad Nagar,Bakery,Average,2.9,7
Radhe Dinning Hall,500,"Gujarati,North Indian",Ahmedabad,Nikol,Casual Dining,Average,2.9,11
Crepes n Coffee,300,Cafe,Ahmedabad,Taste Of Ahmedabad-- Bopal,Café,Average,3.1,8
Sejal's Kitchen,300,"North Indian,Fast Food",Ahmedabad,Satellite,Quick Bites,Average,3.0,7
Prince Snacks,400,"Street Food,Fast Food",Ahmedabad,Mani Nagar,Quick Bites,Average,3.2,8
Hari Om Dalbati,300,"Rajasthani,North Indian",Ahmedabad,Chandkheda,Quick Bites,Average,3.0,5
Jay Goga Tiffin Service,300,"Gujarati,Fast Food",Ahmedabad,Astodia,none,Average,3.0,5
Balan Dosa,400,"South Indian,Sandwich",Ahmedabad,Gulmohar Park-- Satellite,Food Court,None,NEW,NEW
Mehta Cream Centre,100,Mithai,Ahmedabad,Vejalpur,Sweet Shop,Average,3.1,6
Chaat Mahal,150,Street Food,Ahmedabad,Satellite,Food Truck,Not rated,-,-
Zaika Tandoor,400,"North Indian,Mughlai,Chinese",Ahmedabad,Satellite,Quick Bites,Average,2.9,5
Foodella,200,Gujarati,Ahmedabad,Ambavadi,none,Average,2.9,8
HB Non Veg Dibba,300,"Fast Food,North Indian,Chinese",Ahmedabad,Sarkhej,none,Average,3.0,7
Dipak Bhaji Pav,300,Fast Food,Ahmedabad,Thaltej,Quick Bites,Average,3.0,7
Shri Ashapura Bhojnalay,200,North Indian,Ahmedabad,Memnagar,Quick Bites,Average,3.1,10
Gulp,150,Fast Food,Ahmedabad,Sola,Quick Bites,Average,3.0,6
Flora Food,300,"Fast Food,Beverages",Ahmedabad,Mani Nagar,none,Average,3.1,8
Volga Restaurant,500,"North Indian,South Indian",Ahmedabad,Bhadra,Casual Dining,Average,2.9,7
Om Sandwich,300,Fast Food,Ahmedabad,Gurukul,Quick Bites,Average,3.1,10
Params Cafe,300,Fast Food,Ahmedabad,Satellite,none,None,NEW,NEW
Iyer'S Kitchen,300,South Indian,Ahmedabad,Bopal,none,Average,3.0,5
Maher GJ 27 Fast Food Center,200,Fast Food,Ahmedabad,Amraiwadi,Quick Bites,None,NEW,NEW
Bakers Junction,300,Bakery,Ahmedabad,Ghatlodia,Bakery,Average,3.1,5
Ajay Pal Food Centre,200,"North Indian,Gujarati",Ahmedabad,C G Road,Quick Bites,Not rated,-,-
Shiv Om Food Centre,400,"Gujarati,North Indian",Ahmedabad,Sola,Bhojanalya,Average,3.2,5
U.S. Pizza,400,Pizza,Ahmedabad,Thaltej,Quick Bites,None,NEW,NEW
Kolkata Biryani,400,"North Indian,Chinese,Biryani",Ahmedabad,Gurukul,none,None,NEW,NEW
Pizza Point,350,"Pizza,Fast Food",Ahmedabad,Memnagar,Quick Bites,Average,3.0,5
South Land,400,"South Indian,Chinese,North Indian",Ahmedabad,Subhash Bridge,Quick Bites,Average,2.9,5
Kells The Chatpata,300,"Fast Food,South Indian,North Indian,Continental",Ahmedabad,Thaltej,Casual Dining,Average,2.9,7
Krishna Chinese,400,"South Indian,Chinese,Fast Food",Ahmedabad,Vastral,Quick Bites,Average,3.1,8
Supper Snacks & Packs,300,"Fast Food,Sandwich",Ahmedabad,Ashram Road,Quick Bites,Average,3.2,8
Lumbazfoods.com,500,North Indian,Ahmedabad,Prahlad Nagar,none,Not rated,-,-
Pramukh Dosa Cafe,300,South Indian,Ahmedabad,Naranpura,Quick Bites,Average,3.1,8
The BRC Cakes,400,Bakery,Ahmedabad,Thaltej,Bakery,Not rated,-,-
