NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Madras Veg Tables,600,"South Indian,Kerala",Alappuzha,Punnapra,Casual Dining,Average,3.3,62
Cassia,500,"South Indian,North Indian,Fast Food",Alappuzha,Kommady,Casual Dining,Average,3.2,32
Hotel Haji's,400,"Kerala,South Indian",Alappuzha,Pathirappally,Casual Dining,Average,3.2,31
Pizza Palace,600,"Pizza,Fast Food",Alappuzha,Pazhaveedu,Quick Bites,Average,3.2,26
Cutiepie,200,Bakery,Alappuzha,Anantha Narayanapuram,Bakery,Average,3.3,30
Amma's Bakery,100,Bakery,Alappuzha,Thalavady,Bakery,Not rated,-,-
Krishna Bakery,100,Bakery,Alappuzha,Thalavady,Bakery,Not rated,-,-
Hot n Spicy,350,Kerala,Alappuzha,Pazhaveedu,Quick Bites,Not rated,-,-
Maria Kitchen,250,South Indian,Alappuzha,Kommady,Quick Bites,Not rated,-,-
Hassans,300,South Indian,Alappuzha,Pathirappally,Casual Dining,Not rated,-,-
Malabar Plaza,350,"Arabian,North Indian,South Indian",Alappuzha,Pathirappally,Casual Dining,Not rated,-,-
Mushrooms,400,"South Indian,North Indian,Kerala",Alappuzha,Anantha Narayanapuram,Casual Dining,Not rated,-,-
Hotel Plaza,600,"North Indian,South Indian",Alappuzha,Pathirappally,Casual Dining,Not rated,-,-
Kadathanad,400,"South Indian,North Indian,Kerala,Chinese",Alappuzha,Pathirappally,Casual Dining,Not rated,-,-
Ashante Peedika,300,"Fast Food,Beverages",Alappuzha,Koyippalli,Quick Bites,Not rated,-,-
Drinkslist,250,Ice Cream,Alappuzha,Thalavady,Dessert Parlor,Not rated,-,-
Mahadev,400,"South Indian,Kerala",Alappuzha,Thathampally,Quick Bites,None,NEW,NEW
