NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Domino's Pizza,700,"Pizza,Fast Food",Allahabad,Civil Lines,Quick Bites,Good,3.7,518
Pizza Hut,700,"Italian,Pizza",Allahabad,Civil Lines,Casual Dining,Very Good,4.0,567
Well Bean Cafe,500,Cafe,Allahabad,Civil Lines,Café,Very Good,4.4,286
Old School Cafe,1000,"Cafe,North Indian,Continental,Chinese,Indian,Thai,Burger",Allahabad,Civil Lines,Café,Very Good,4.4,360
KFC,600,"Burger,Fast Food",Allahabad,Civil Lines,Quick Bites,Very Good,4.2,432
Nainital Momos,400,"Momos,Beverages",Allahabad,Civil Lines,Quick Bites,Very Good,4.0,123
Mr. Dewsis,600,"North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Very Good,4.2,486
Bikanerwala,500,"North Indian,Street Food,Fast Food",Allahabad,Civil Lines,Casual Dining,Sangat Baik,4.2,226
EDEN by Connoisseur,1000,"North Indian,Chinese,Continental",Allahabad,Civil Lines,Casual Dining,Excellent,4.5,97
Aryan Family's Delight,500,"North Indian,South Indian,Fast Food",Allahabad,Civil Lines,Casual Dining,Very Good,4.3,299
7th Heaven,200,"Bakery,Italian,Continental,Desserts",Allahabad,Civil Lines,Dessert Parlor,Very Good,4.0,79
Pind Balluchi,1000,"North Indian,Mughlai",Allahabad,Civil Lines,Casual Dining,Very Good,4.3,305
Haldiram Bhujiawala,700,"North Indian,Fast Food,Street Food,South Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Very Good,4.1,317
Makkhan's,1000,North Indian,Allahabad,Civil Lines,Casual Dining,Very Good,4.1,83
Cafe BigBoxx,600,"Indian,Continental",Allahabad,Civil Lines,Casual Dining,Very Good,4.2,123
Bukhara Point,300,Mughlai,Allahabad,Civil Lines,Quick Bites,Good,3.5,20
The Baking Room,400,Cafe,Allahabad,Allapur,Café,Average,2.7,13
Chandra Sweets,300,"North Indian,South Indian,Mithai,Indian",Allahabad,Tagore Town,Quick Bites,Average,3.3,5
Om Shanti Sweets,400,"Mithai,Fast Food",Allahabad,Tagore Town,Quick Bites,Good,3.5,15
Arabian Nights,1000,North Indian,Allahabad,Naini,Casual Dining,Not rated,-,-
R P Restaurant,300,"Chinese,Indian",Allahabad,Teliarganj,Quick Bites,Average,3.4,9
Fast & Foodious,300,Fast Food,Allahabad,Tagore Town,Quick Bites,Average,3.3,14
Alok & Brother's Restro,300,"North Indian,South Indian",Allahabad,Naini,Quick Bites,Average,3.2,12
Lucky Sweet House,250,Mithai,Allahabad,Naini,Sweet Shop,Average,3.2,7
Banarasi Misthan Bhandar,500,Mithai,Allahabad,Civil Lines,Sweet Shop,Average,3.1,7
Mirchi The Taste of India,600,Chinese,Allahabad,Dhoomanganj,Quick Bites,Average,3.0,12
Green Bean Cafe & Restaurant,200,South Indian,Allahabad,George Town,Quick Bites,Average,3.1,12
D.Hashtag,500,"Chinese,Pizza",Allahabad,Naini,Café,Average,3.3,9
Courtyard Multi Cuisine Open Air Restaurant,500,"North Indian,Chinese",Allahabad,Dhoomanganj,Casual Dining,None,NEW,NEW
Maharaja Restaurant,300,North Indian,Allahabad,Katra,Quick Bites,Average,3.3,9
Glassy Junction - Hotel Milan Palace,1000,North Indian,Allahabad,Civil Lines,Bar,Average,3.2,14
The Hide Out,500,"Cafe,North Indian",Allahabad,Naini,Café,Average,3.3,19
Wasabi Restaurant,300,North Indian,Allahabad,Naini,Quick Bites,None,NEW,NEW
Chinese Restaurant,400,Chinese,Allahabad,Naini,Quick Bites,None,NEW,NEW
S Cafe,500,North Indian,Allahabad,Teliarganj,Quick Bites,Average,3.1,7
Dastarkhwan,400,Cafe,Allahabad,Tagore Town,Café,Average,3.4,19
Aahar  Restaurant,400,"North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Average,2.7,16
Allahabad Kabab Paratha,600,Mughlai,Allahabad,Kareli,Casual Dining,Very Good,4.0,49
Blackout Juice Corner,150,"Juices,Beverages",Allahabad,Teliarganj,Beverage Shop,Average,2.8,8
Pahalwan Juice Stuff,100,Beverages,Allahabad,Naini,Beverage Shop,None,NEW,NEW
