NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Jazeerah Restaurant,400,"Malwani,Modern Indian,Roast Chicken,Seafood",Amravati,Ambapeth,Casual Dining,Very Good,4.2,26
Hotel Up & Above,200,North Indian,Amravati,Maltekedi,Casual Dining,Excellent,4.6,31
New Punjabi Dhaba & Restaurant,200,"Indian,North Indian,Maharashtrian",Amravati,Ambapeth,Quick Bites,Very Good,4.1,14
New Eagle Restaurant,200,North Indian,Amravati,Nai Basti,Casual Dining,Excellent,4.5,25
South Kitchen,500,"North Indian,South Indian",Amravati,Maltekedi,Casual Dining,Very Good,4.0,8
Al Basheer Restaurant,200,North Indian,Amravati,Nai Basti,Casual Dining,Good,3.7,21
Bombay Street Cafe,300,Fast Food,Amravati,Ambapeth,Casual Dining,Good,3.8,9
Manvaar - The Indian Restaurant,300,"Juices,Modern Indian",Amravati,Ambapeth,Quick Bites,Good,3.7,8
Goli Vada Pav No- 1,100,Maharashtrian,Amravati,Arjun Nagar,Quick Bites,Good,3.9,11
Cafe Eatalious,200,"Pizza,Sandwich,Burger,Rolls,Chinese,Beverages",Amravati,Sai Nagar,none,Very Good,4.1,14
Mamaji Restaurant,200,North Indian,Amravati,Maltekedi,Casual Dining,Average,3.1,11
Foodbux Cafe,200,"Pizza,Burger,Sandwich",Amravati,Maltekedi,Café,Very Good,4.0,8
Moti Mahal Delux,200,"Fast Food,North Indian,Pizza,Sandwich,South Indian",Amravati,Dastur Nagar,Casual Dining,Not rated,-,-
Taste Of South,500,"North Indian,South Indian",Amravati,Maltekedi,Casual Dining,Good,3.5,10
Heritage Kitchen Restaurant & Celebration Hall,300,North Indian,Amravati,Navsaari,Casual Dining,Average,3.4,9
Dinshaw's (S.S Associates),150,Ice Cream,Amravati,Siddhivinayak Nagar,Casual Dining,None,NEW,NEW
Lala Chickenwala,300,North Indian,Amravati,Arjun Nagar,Casual Dining,None,NEW,NEW
Golden Bakery,400,"Bakery,Desserts",Amravati,Sai Nagar,Bakery,None,NEW,NEW
Hotel Grace Inn,300,"South Indian,North Indian,Maharashtrian,Indian",Amravati,Ambapeth,Fine Dining,Not rated,-,-
Kailash Resort Wine Bar And Restaurant,400,North Indian,Amravati,Gopal Nagar,Casual Dining,Not rated,-,-
Hotel Namaskar,200,"North Indian,Maharashtrian,Indian,Biryani",Amravati,Dastur Nagar,Casual Dining,None,NEW,NEW
Pandithji Banarasi Pan Shop,50,Paan,Amravati,Maltekedi,Casual Dining,Not rated,-,-
Sarwandy Chat Corner,100,Street Food,Amravati,Sai Nagar,Kiosk,Not rated,-,-
Spring Cafe,400,"Cafe,Beverages",Amravati,Maltekedi,Café,Not rated,-,-
Balaji Chinese and Pavbhaji,100,"Fast Food,Chinese",Amravati,Navsaari,Café,Not rated,-,-
Mathura family Restaurant,200,Indian,Amravati,Maltekedi,Casual Dining,Not rated,-,-
Hotel adarsh Desi vilayti veg,300,"Indian,Modern Indian,North Indian",Amravati,Nai Basti,Casual Dining,None,NEW,NEW
Hotel Dreamland Restaurant & Bar,700,"North Indian,Chinese,Beverages",Amravati,Ambapeth,Casual Dining,Not rated,-,-
Jashn Restaurant,300,"North Indian,Maharashtrian",Amravati,Maltekedi,Casual Dining,Not rated,-,-
Rajwada Restaurant,500,North Indian,Amravati,Ambapeth,Casual Dining,Not rated,-,-
Mumbai chat center,100,Fast Food,Amravati,Sai Nagar,Casual Dining,Not rated,-,-
KASBAAH Pure Veg,300,Modern Indian,Amravati,Yogiraj Nagar,Casual Dining,Not rated,-,-
Little Heart's Cafe,200,"Modern Indian,Pizza,Sandwich,Street Food",Amravati,Sai Nagar,Café,Not rated,-,-
Jamna's sandwich and coffee shop,200,"Fast Food,Cafe",Amravati,Sai Nagar,Café,Not rated,-,-
Hotel Union house,200,"Indian,Juices,Modern Indian,Sandwich",Amravati,Maltekedi,Casual Dining,Not rated,-,-
Rasoi restaurant,300,"North Indian,Maharashtrian,Indian,Chinese",Amravati,Maltekedi,Bar,Not rated,-,-
Hotel Mohini family garden restaurant,300,"North Indian,Modern Indian,Continental",Amravati,Sai Nagar,Casual Dining,Not rated,-,-
Hotel Elements,450,"South Indian,North Indian,Maharashtrian,Chinese",Amravati,Maltekedi,Fine Dining,Not rated,-,-
Hotel Neelam,300,"Modern Indian,North Indian",Amravati,Ambapeth,Casual Dining,Not rated,-,-
Mama tea house,100,Indian,Amravati,Ambapeth,Café,None,NEW,NEW
Jugal Foods,150,Bakery,Amravati,Dastur Nagar,Bakery,None,NEW,NEW
Ramji Mithaiya,200,Mithai,Amravati,Ambapeth,Sweet Shop,Not rated,-,-
Raj Restaurant,400,North Indian,Amravati,Ambapeth,Casual Dining,Not rated,-,-
Social square,300,"Modern Indian,North Indian,Sandwich",Amravati,Sai Nagar,Café,None,NEW,NEW
CHICK BLAST,250,North Indian,Amravati,Hazrat Bilal Nagar,Quick Bites,Not rated,-,-
Manbhari food Mart,200,"Sandwich,Bakery",Amravati,Sharda Vihar,Bakery,Not rated,-,-
Manoj Family Restaurant,200,"South Indian,North Indian,Maharashtrian,Chinese",Amravati,Maltekedi,Casual Dining,Not rated,-,-
The Eatsome Fast Food,200,North Indian,Amravati,Maltekedi,Casual Dining,Not rated,-,-
Shri Kushal Point,200,"Fast Food,South Indian",Amravati,Sharda Vihar,Quick Bites,Not rated,-,-
Suryoday bhojnalay,200,"Indian,North Indian",Amravati,Ambapeth,Casual Dining,Not rated,-,-
Cafe Cream (Pote college road),200,"Sandwich,Pizza,Italian,Ice Cream,Fast Food,Coffee,Cafe,Beverages",Amravati,Navsaari,Café,None,NEW,NEW
Shiv Sweet's and Cakes,200,Bakery,Amravati,Dastur Nagar,Bakery,Not rated,-,-
Suruchi Restaurant,300,"Indian,North Indian",Amravati,Hazrat Bilal Nagar,Casual Dining,None,NEW,NEW
Krown Bakers,300,Bakery,Amravati,Maltekedi,Bakery,Not rated,-,-
Rimjhim Dhaba,200,"Indian,Maharashtrian,Modern Indian,North Indian",Amravati,Gopal Nagar,Casual Dining,Not rated,-,-
B R BHOJANALAYA,200,"Maharashtrian,Indian",Amravati,Dastur Nagar,Casual Dining,Not rated,-,-
Mathuravasi Dosa Centre,300,South Indian,Amravati,Maltekedi,Casual Dining,Not rated,-,-
Sai Prasad Tandoori Chai,200,North Indian,Amravati,Sai Nagar,Quick Bites,Not rated,-,-
"Manbhari food Mart, shegaon naka",200,"Fast Food,Healthy Food,Indian,Modern Indian",Amravati,Navsaari,Casual Dining,Not rated,-,-
Meher's cafe Irani,100,"Cafe,Fast Food",Amravati,Maltekedi,Café,Not rated,-,-
Sher E Punjab restaurant,300,"Indian,Modern Indian,North Indian",Amravati,Ambapeth,Casual Dining,Not rated,-,-
Delicious Taverna,600,North Indian,Amravati,Yogiraj Nagar,Casual Dining,Not rated,-,-
Raai Jeera Veg & Desi Restaurant,250,North Indian,Amravati,Ambapeth,Casual Dining,Good,3.6,6
Santosh Bhuwan,100,North Indian,Amravati,Maltekedi,Quick Bites,Good,3.6,5
Kanhaiya Kunj,200,Indian,Amravati,Sai Nagar,none,Very Good,4.1,6
manmohan family restaurant,200,"South Indian,North Indian,Maharashtrian,Indian,Fast Food,Chinese",Amravati,Maltekedi,Fine Dining,Average,3.1,9
Chaat Bazaar,300,"Burger,Chinese,Fast Food,Healthy Food,Ice Cream,North Indian,Sandwich,South Indian",Amravati,Maltekedi,Dessert Parlor,Good,3.9,6
Goli Vada Pav No-1,200,"Sandwich,Fast Food,Maharashtrian",Amravati,Sharda Vihar,Quick Bites,Good,3.8,9
Marasim Restaurant,300,"Biryani,Seafood,Malwani",Amravati,Hazrat Bilal Nagar,Quick Bites,Good,3.9,8
Sahuji Ka Dhaba,200,North Indian,Amravati,Ambapeth,Casual Dining,Very Good,4.0,10
Hotel Abdullah,200,"Biryani,North Indian,Seafood,Chinese",Amravati,Ambapeth,Casual Dining,Excellent,4.7,10
Spru's Pizza Cafe,200,"Pizza,Sandwich,Burger",Amravati,Sai Nagar,none,Good,3.7,7
New Kolkata Rolls,100,Rolls,Amravati,Navsaari,Food Court,Good,3.9,5
D' Barbeque a Unit of Warhadi Thath,200,North Indian,Amravati,Ambapeth,Quick Bites,Good,3.8,5
SAI Chinese & Fast Food,150,"Chinese,Fast Food",Amravati,Hazrat Bilal Nagar,Quick Bites,Good,3.9,7
Kazim's Pizza & Tandoor,200,North Indian,Amravati,Transport Nagar,Quick Bites,Good,3.8,8
Purnabhramha,400,"North Indian,Maharashtrian",Amravati,Ambapeth,Quick Bites,Good,3.6,6
BARBEQUE - N,300,"North Indian,Maharashtrian,Indian",Amravati,Maltekedi,Fine Dining,Good,3.5,4
Sandwich center,200,"Modern Indian,Sandwich",Amravati,Maltekedi,Café,Not rated,-,-
Spice Kitchen,200,North Indian,Amravati,Maltekedi,Casual Dining,Average,3.2,5
New Sanman,250,North Indian,Amravati,Ambapeth,Casual Dining,Not rated,-,-
Delhi Paratha House,200,North Indian,Amravati,Sharda Vihar,Quick Bites,Good,3.6,4
Shivshakti Icecream and Juice,100,"Juices,Ice Cream",Amravati,Ambapeth,Beverage Shop,Good,3.5,4
Food On Call Restaurant and Home Delivery,200,"South Indian,North Indian,Indian,Fast Food,Chinese",Amravati,Sharda Vihar,Casual Dining,Not rated,-,-
The Mini Punjab,500,"Indian,Maharashtrian",Amravati,Maltekedi,Casual Dining,Good,3.5,4
uncle pan center,150,Indian,Amravati,Ambapeth,Quick Bites,None,NEW,NEW
Chaat Trail,150,"Maharashtrian,Street Food",Amravati,Sai Nagar,Casual Dining,Not rated,-,-
Beyond Temptation,200,"Fast Food,Beverages",Amravati,Ambapeth,Quick Bites,Not rated,-,-
Devmata Refreshment,100,"Indian,Fast Food",Amravati,Siddhivinayak Nagar,Casual Dining,None,NEW,NEW
Anil Sawaji Restaurant,200,North Indian,Amravati,Ambapeth,Quick Bites,Not rated,-,-
New Kanhaiya Pure Veg Family Restaurant,150,North Indian,Amravati,Ambapeth,none,Not rated,-,-
Nescafe,300,"Bakery,Cafe,Chinese,Coffee,Fast Food,Healthy Food,Indian,Pizza",Amravati,Maltekedi,Café,Average,3.4,5
Sukh Sagar Fast Food And Restaurant,300,North Indian,Amravati,Ambapeth,Casual Dining,Average,3.0,4
Goodday's Cakes & Cookies,200,"Cafe,Bakery",Amravati,Ambapeth,Bakery,Not rated,-,-
Manbhari Food Mart,200,"Bakery,Sandwich",Amravati,Navsaari,Bakery,Not rated,-,-
Gurumauli melting point,250,"South Indian,Maharashtrian,Indian,Fast Food,Chinese",Amravati,Maltekedi,Food Court,Not rated,-,-
Cake and Bake,300,Bakery,Amravati,Ambapeth,Bakery,Not rated,-,-
Panino The Sandwich World,200,"Burger,Fast Food,Cafe,Sandwich",Amravati,Ambapeth,Casual Dining,Good,3.7,4
The Chocolate heaven,250,"Bakery,Burger,Cafe,Coffee,Indian,Pizza,Sandwich",Amravati,Maltekedi,Bakery,Not rated,-,-
FORNO Cafe and lounge,200,"Burger,Fast Food,Juices,Pizza,Sandwich",Amravati,Maltekedi,Bakery,Not rated,-,-
Sai Home Foods,300,"North Indian,Maharashtrian",Amravati,Sai Nagar,none,Not rated,-,-
Cafe Cream,200,"Cafe,Coffee,Fast Food,Juices,Momos,Pizza,Sandwich,Tea",Amravati,Maltekedi,Café,Not rated,-,-
Food Inn's Sandwich and Coffee Bar,200,Fast Food,Amravati,Hazrat Bilal Nagar,Quick Bites,Not rated,-,-
Hotel hindustan international,400,"North Indian,Maharashtrian,Indian,Chinese",Amravati,Maltekedi,Bar,Not rated,-,-
Bonjour Cafe & Lounge,200,North Indian,Amravati,Nai Basti,Casual Dining,Not rated,-,-
Varhadi Misal,200,Maharashtrian,Amravati,Sai Nagar,Casual Dining,Not rated,-,-
Dinshaw's cups And Cone,150,Ice Cream,Amravati,Sai Nagar,Casual Dining,None,NEW,NEW
Khamaz The House Of Biryani,300,"Biryani,Roast Chicken",Amravati,Maltekedi,Casual Dining,Good,3.8,4
Omi's corner,100,Fast Food,Amravati,Navsaari,Casual Dining,Not rated,-,-
Food Inn's Sandwich And Coffee Bar,200,"Burger,Coffee,Juices,Pizza,Sandwich,Tea",Amravati,Gopal Nagar,Café,Not rated,-,-
Manbhari Food Mart,200,"Sandwich,Bakery",Amravati,Ambapeth,Bakery,Not rated,-,-
Vrindavan Mithaiya,200,Mithai,Amravati,Ambapeth,Sweet Shop,Not rated,-,-
Joshis Kitchen,200,Fast Food,Amravati,Sharda Vihar,Quick Bites,Not rated,-,-
Hotel Rangoli Pearl ( Ginger Multi Cuisine Restaurant),500,"South Indian,North Indian,Maharashtrian,Italian",Amravati,Maltekedi,Fine Dining,Not rated,-,-
Krishna chinese,100,Chinese,Amravati,Navsaari,Casual Dining,None,NEW,NEW
Coffee Cafe Melody,200,"Modern Indian,Pizza,Sandwich",Amravati,Arjun Nagar,Café,Not rated,-,-
Kaushalya Sweets And Namkeen,100,"Fast Food,Indian,Mithai",Amravati,Sai Nagar,Casual Dining,None,NEW,NEW
forno cafe,200,"Bakery,Burger,Cafe,Coffee",Amravati,Hazrat Bilal Nagar,Bakery,Not rated,-,-
Roll-in Baker's,300,Bakery,Amravati,Sai Nagar,Bakery,Not rated,-,-
RAMJI MITHAIYA AND NAMKEEN,300,Indian,Amravati,Maltekedi,Sweet Shop,Not rated,-,-
Vedika Purnbramha (Gavrani Jevan),150,Maharashtrian,Amravati,Navsaari,Casual Dining,Not rated,-,-
Gurukrupa Coffee House,100,"Chinese,Fast Food,South Indian",Amravati,Maltekedi,Casual Dining,Not rated,-,-
P M fast food,150,"South Indian,Maharashtrian,Indian,Fast Food,Chinese",Amravati,Gopal Nagar,Fine Dining,None,NEW,NEW
Annapurna Bhojanalya,150,North Indian,Amravati,Maltekedi,Bhojanalya,Not rated,-,-
Hotel Iccha,500,North Indian,Amravati,Sharda Vihar,Casual Dining,Good,3.6,5
Heart Beat Ice Cream Parlour,300,"Ice Cream,Desserts",Amravati,Maltekedi,Dessert Parlor,None,NEW,NEW
