NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
La Roma Pizzeria,500,"Fast Food,Italian",Amritsar,Ranjit Avenue,Casual Dining,Excellent,4.9,2763
Bade Bhai ka Brothers Dhaba,500,North Indian,Amritsar,Town Hall,Casual Dining,Very Good,4.4,1008
Bharawan Da Dhaba,500,"North Indian,Fast Food",Amritsar,Town Hall,Casual Dining,Very Good,4.3,989
R K Food Plaza,400,"North Indian,Chinese,Fast Food",Amritsar,Town Hall,Quick Bites,Very Good,4.2,508
Makhan Fish and Chicken Corner,700,"North Indian,Chinese",Amritsar,Basant Nagar,Casual Dining,Very Good,4.0,868
Bon Gateau,700,"Cafe,Bakery,Fast Food",Amritsar,Ranjit Avenue,Café,Very Good,4.3,414
Kale Da Dhaba,500,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Very Good,4.1,494
Brothers' Amritsari Dhaba,400,North Indian,Amritsar,Town Hall,Casual Dining,Very Good,4.3,344
Burger King,400,Burger,Amritsar,Lawrence Road,Quick Bites,Very Good,4.0,569
Cafe Connect,500,Fast Food,Amritsar,Ranjit Avenue,Quick Bites,Very Good,4.1,395
Domino's Pizza,700,"Pizza,Fast Food",Amritsar,Lawrence Road,Quick Bites,Good,3.8,664
Sip n Breww,200,Cafe,Amritsar,Lawrence Road,Café,Good,3.9,400
Bombay Pavbhaji - Original,350,"Fast Food,Street Food",Amritsar,INA Colony,Quick Bites,Good,3.9,388
Sanjha Chulha,400,North Indian,Amritsar,Lawrence Road,Casual Dining,Very Good,4.1,468
Sakhis Watz Kukin,900,"Chinese,Continental,North Indian,Italian,Mughlai",Amritsar,Ranjit Avenue,Casual Dining,Very Good,4.4,386
Burning Bun,300,Fast Food,Amritsar,Basant Nagar,Quick Bites,Good,3.5,53
WAFL Café,500,"Desserts,Bakery,Beverages,Fast Food,Continental",Amritsar,Lawrence Road,Café,Good,3.9,82
My Shop,700,"North Indian,Mughlai",Amritsar,Ranjit Avenue,Quick Bites,Good,3.7,71
Jagmohan Veg Champ,150,"Fast Food,North Indian",Amritsar,Basant Nagar,Quick Bites,Good,3.6,42
Krishna Madhur Mishthan Bhandar & Vaishno Dhaba,300,"North Indian,Mithai",Amritsar,Basant Nagar,Dhaba,Good,3.7,44
Fun Tym Pizzaria,400,"Pizza,Fast Food",Amritsar,Rani Ka Bagh,Quick Bites,Good,3.7,61
Indian summer restaurant,0,North Indian,Amritsar,Town Hall,Quick Bites,None,NEW,NEW
In n Out Bakers,300,Bakery,Amritsar,Ranjit Avenue,Bakery,Good,3.6,42
Peddlers,1000,"North Indian,Italian",Amritsar,Ranjit Avenue,Pub,Good,3.8,89
The Urban Courtyard,1400,"Fast Food,North Indian,Italian",Amritsar,White Avenue,Casual Dining,Good,3.7,110
The Pizza Studio,500,"Pizza,Fast Food",Amritsar,Ranjit Avenue,Quick Bites,Average,3.3,117
New Brijwasi Chat,300,Street Food,Amritsar,Ranjit Avenue,Quick Bites,Good,3.7,40
Yummy Tummy,300,Fast Food,Amritsar,GT Road,Quick Bites,Good,3.6,34
Bon's Food Factory,450,"Italian,Chinese",Amritsar,Ranjit Avenue,Quick Bites,Average,3.2,79
Enjoy Pizza Plus,450,"Pizza,Beverages",Amritsar,Ranjit Avenue,Quick Bites,Average,3.4,88
Khanna Sweets,300,Mithai,Amritsar,Lawrence Road,Sweet Shop,Good,3.5,21
Sanjha Chulha Dhaba,300,North Indian,Amritsar,Town Hall,Quick Bites,Good,3.5,63
The Italian Hub,450,Italian,Amritsar,GT Road,Quick Bites,Good,3.7,49
Special Bombay Pav Bhaji & Bhel Puri,300,"Fast Food,Street Food",Amritsar,Basant Nagar,Quick Bites,Average,3.3,10
Pure Punjabi Vegetarian,300,North Indian,Amritsar,Mall Road,Quick Bites,Average,3.3,19
Foodeez,400,"Chinese,Cafe,Pizza,North Indian,Italian",Amritsar,Rani Ka Bagh,Café,Good,3.5,107
Subhash Juice Bar,200,"Juices,Fast Food",Amritsar,Basant Nagar,Beverage Shop,Good,3.5,20
Cut of Joy,300,"Cafe,Fast Food",Amritsar,Kabir Park,Café,None,NEW,NEW
Amrit Pastry Shop,150,"Bakery,Desserts",Amritsar,GT Road,Bakery,Good,3.7,47
Cheesy Hub,150,"Fast Food,Burger,Sandwich",Amritsar,Basant Nagar,Quick Bites,Average,3.3,11
Famous Kulcha Corner,100,North Indian,Amritsar,Rani Ka Bagh,Dhaba,Good,3.6,16
The  Bakers,350,"Desserts,Fast Food",Amritsar,Kabir Park,Bakery,Average,3.4,23
Food Forest,600,"Chinese,North Indian",Amritsar,Ranjit Avenue,Casual Dining,Average,3.2,39
Sardar Ji Kulcha,150,"North Indian,Fast Food",Amritsar,Basant Nagar,Quick Bites,Average,3.4,15
Mom's Cafe,300,"Fast Food,Italian",Amritsar,INA Colony,Quick Bites,Average,3.3,14
Bakewell Bakers,300,Bakery,Amritsar,INA Colony,Bakery,Average,2.9,43
Prem Nath & Sons Kulfe Wale,150,"Ice Cream,Desserts",Amritsar,Hathi Gate,Dessert Parlor,Good,3.5,20
Chawlas 2,500,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Good,3.7,93
Dchef's Delite,300,Fast Food,Amritsar,Amritsar Cantonment,Quick Bites,Average,3.3,12
BB - Brother Bakery,400,Bakery,Amritsar,Amritsar Cantonment,Bakery,Average,2.9,8
Ghar Ka Khana,150,North Indian,Amritsar,Town Hall,Quick Bites,None,NEW,NEW
Big Bites,200,Fast Food,Amritsar,Basant Nagar,Quick Bites,None,NEW,NEW
Lotizza Pizza,400,Italian,Amritsar,Basant Nagar,Quick Bites,Good,3.6,63
Kulcha King,300,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Good,3.5,34
Apsra Dhaba,300,North Indian,Amritsar,Hathi Gate,Quick Bites,Average,3.1,4
British Beer Cafe,500,"North Indian,Cafe",Amritsar,Ranjit Avenue,Café,Average,3.4,33
HS Buger House,200,Fast Food,Amritsar,GT Road,Quick Bites,Not rated,-,-
American Pizza,200,Pizza,Amritsar,GT Road,Quick Bites,Average,3.2,9
Life Bakery,500,Desserts,Amritsar,Mohan Nagar,Bakery,Good,3.7,70
BK Chat Bhandar,100,"North Indian,Fast Food,Street Food",Amritsar,Hathi Gate,Quick Bites,Average,3.2,6
Laxmi Bikaner Sweets,200,Mithai,Amritsar,Ranjit Avenue,Sweet Shop,Average,3.3,13
Patola Drinks N Gabru Snacks,250,North Indian,Amritsar,Amritsar Cantonment,Quick Bites,Average,3.3,13
Ambey Bikaner Sweets,100,"Mithai,Street Food",Amritsar,Kabir Park,Sweet Shop,Average,3.4,20
Sonu Kulcha Hut,150,Street Food,Amritsar,White Avenue,Quick Bites,Average,3.4,26
Mc Grill,500,Fast Food,Amritsar,Kabir Park,Quick Bites,Average,3.4,29
Juice And Fruit Shop,100,Juices,Amritsar,INA Colony,Beverage Shop,Average,3.2,8
Nanking Express,350,Chinese,Amritsar,GT Road,Food Court,Average,3.4,22
Narula's,600,North Indian,Amritsar,White Avenue,Quick Bites,Average,3.4,24
Jack Shack,200,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Good,3.5,22
Punjabi Tadka,400,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Average,3.3,24
Chapatti Wala,300,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Poor,2.4,22
Rudra Food Court,300,"Burger,South Indian,Fast Food,North Indian",Amritsar,GT Road,Quick Bites,Average,3.3,15
PANBUCKS,0,,Amritsar,Mohan Nagar,Bakery,None,NEW,NEW
Canadian Pizza,350,"Pizza,Fast Food",Amritsar,Hathi Gate,Quick Bites,Average,3.3,26
Mind Kaffe & Shakes,300,Beverages,Amritsar,White Avenue,Quick Bites,Average,3.4,17
The Pisa Pizza,400,"Fast Food,Pizza",Amritsar,Maquboolpura,Quick Bites,Average,3.2,13
Cakerz N Bakerz,350,"Bakery,Desserts",Amritsar,Hathi Gate,none,Average,3.3,21
The Chocolate Room,300,"Continental,Burger,Fast Food,Desserts",Amritsar,Kabir Park,Quick Bites,Average,3.2,8
The Pearl,600,North Indian,Amritsar,Ranjit Avenue,Casual Dining,Average,3.1,5
Regal Restaurant,300,"Fast Food,South Indian",Amritsar,Mall Road,Quick Bites,Average,2.7,5
Food junction,250,Fast Food,Amritsar,Ranjit Avenue,Quick Bites,Average,3.2,19
Bittu Meat Walla,400,North Indian,Amritsar,Ranjit Nagar,Quick Bites,Average,3.4,17
Eat,500,"North Indian,Chinese",Amritsar,Hathi Gate,Casual Dining,Average,3.1,6
Maoh American Food,150,Continental,Amritsar,Town Hall,Quick Bites,Average,3.2,8
Italio,400,"Pizza,Italian",Amritsar,AplhaOne Mall-- GT Road,Quick Bites,Average,3.2,11
Zyka,700,"Chinese,North Indian,Coffee",Amritsar,Town Hall,Casual Dining,Good,3.5,48
Cafe Square,350,"Pizza,Fast Food",Amritsar,Lawrence Road,Quick Bites,Average,2.8,9
Aay Kay Hotel,1000,"North Indian,Chinese,Continental",Amritsar,Rani Ka Bagh,Casual Dining,Average,3.3,14
Honey Hut,200,"Desserts,Ice Cream",Amritsar,AplhaOne Mall-- GT Road,Dessert Parlor,Average,3.1,11
New Bite Club Pizza,200,"Pizza,Fast Food,Beverages",Amritsar,GT Road,Quick Bites,None,NEW,NEW
Charcoal 'N' Wudz,1100,North Indian,Amritsar,Ranjit Avenue,Casual Dining,Very Good,4.3,99
Prohibition,300,"Italian,Continental",Amritsar,Ranjit Avenue,Quick Bites,Average,3.3,20
Chill out Restaurant,400,"Chinese,Italian",Amritsar,Mohan Nagar,Quick Bites,Average,3.3,11
King Chicken Corner,250,"North Indian,Mughlai",Amritsar,Ranjit Avenue,Quick Bites,Average,3.2,9
Om Snacks & Fastfood,300,Fast Food,Amritsar,Ranjit Avenue,Quick Bites,Average,3.3,19
Man Vs Food,350,"Italian,Fast Food",Amritsar,Shastri Nagar,Quick Bites,Average,2.9,13
Giani Punjabi Lassi,100,Mithai,Amritsar,Hathi Gate,Sweet Shop,Average,3.2,9
Ravi's Chicken Treat,400,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Average,3.1,9
Bawarchi,400,North Indian,Amritsar,Ranjit Avenue,Quick Bites,Average,3.2,9
Babaji Vaishno Bhojan Bhandar,150,"North Indian,Fast Food",Amritsar,Rani Ka Bagh,Bhojanalya,Not rated,-,-
Royal Pan Parlour,100,Paan,Amritsar,Ranjit Avenue,Paan Shop,None,NEW,NEW
Manu Kulcha,200,Street Food,Amritsar,Ranjit Avenue,Quick Bites,Average,3.2,4
Arora Bakers,300,"Bakery,Desserts",Amritsar,Kabir Park,Bakery,Average,3.0,8
Avtar Non Veg Dhaba,350,North Indian,Amritsar,Rani Ka Bagh,Dhaba,Average,2.9,17
Italian Pizza,300,Italian,Amritsar,Maquboolpura,Quick Bites,Average,3.1,10
New Janta Vaishno Dhaba,250,"North Indian,Fast Food",Amritsar,White Avenue,Dhaba,Average,3.0,7
Baskin Robbins,300,Ice Cream,Amritsar,Trillium Mall-- White Avenue,Dessert Parlor,Average,3.1,6
Chaman Chicken Hut,1000,North Indian,Amritsar,Ranjit Avenue,Casual Dining,Average,3.2,14
Standard Sweets Shop,150,Mithai,Amritsar,Town Hall,Sweet Shop,Not rated,-,-
Grover Bakers,200,Bakery,Amritsar,Mall Road,Bakery,Average,3.2,11
Gill's Chick-inn,350,Mughlai,Amritsar,Ranjit Avenue,Quick Bites,Average,2.7,12
Republic of Chicken,400,"Raw Meats,Fast Food,Mughlai",Amritsar,Ranjit Avenue,Meat Shop,Average,2.6,11
Italian Bite,600,Italian,Amritsar,Rani Ka Bagh,Quick Bites,None,NEW,NEW
Chinar Hot Shop,250,"Fast Food,Chinese,South Indian",Amritsar,Amritsar Junction,Quick Bites,Not rated,-,-
New Standard Sweet Shop,150,Mithai,Amritsar,Town Hall,Sweet Shop,Not rated,-,-
Tare Di Hatti,250,North Indian,Amritsar,Lawrence Road,Kiosk,Average,3.2,9
Little Princess Treasures,400,"Bakery,Cafe,Desserts",Amritsar,Ranjit Avenue,Bakery,Average,2.8,13
Monga Bakers,200,Bakery,Amritsar,Basant Nagar,Bakery,Average,3.3,11
Chill N Food,300,"Fast Food,Beverages",Amritsar,Ranjit Avenue,Quick Bites,Average,3.0,10
Bemisaal Restaurant,1400,"Chinese,Indian,Italian",Amritsar,Ranjit Avenue,Casual Dining,Average,3.0,5
Ashoka Fish Corner,300,North Indian,Amritsar,Town Hall,Quick Bites,Not rated,-,-
Ravis Chicken Treat,300,Fast Food,Amritsar,Town Hall,Quick Bites,Average,2.9,6
Truly Tasty Tiffen Service,200,North Indian,Amritsar,GT Road,none,None,NEW,NEW
Ravis Chicken,400,"Fast Food,North Indian",Amritsar,Town Hall,Quick Bites,Average,2.9,6
Radha Krishna Shakti Mishtaan Bhandaar,400,Mithai,Amritsar,Ranjit Avenue,Sweet Shop,Not rated,-,-
Formos,500,"North Indian,Chinese,Fast Food",Amritsar,Lawrence Road,Casual Dining,Good,3.9,77
The pizza.com,300,"Italian,Fast Food",Amritsar,Hathi Gate,Quick Bites,None,NEW,NEW
South Indian Dosa Wala,150,South Indian,Amritsar,INA Colony,Quick Bites,Average,3.0,4
Pappu Chicken Shop,400,"North Indian,Fast Food",Amritsar,Amritsar Cantonment,Quick Bites,Average,3.0,7
Mama Meat Shop,300,Raw Meats,Amritsar,Ranjit Avenue,Meat Shop,Average,3.0,4
Superior Rasoi,450,"North Indian,Chinese",Amritsar,Ranjit Nagar,Quick Bites,Not rated,-,-
Pick n Move,600,North Indian,Amritsar,Lawrence Road,Quick Bites,Average,2.7,7
Hadippa,600,North Indian,Amritsar,Ranjit Avenue,Casual Dining,Average,2.8,5
Bakers,200,Bakery,Amritsar,Ranjit Avenue,Bakery,Average,3.1,6
Crystal - Takeaway,180,Chinese,Amritsar,INA Colony,Quick Bites,Good,3.8,52
Chaurasia Brothers,100,Juices,Amritsar,Rani Ka Bagh,Beverage Shop,Average,2.9,6
Fresh And Tasty,300,"Fast Food,Chinese",Amritsar,Rani Ka Bagh,Quick Bites,Average,3.2,5
Walia Fast Food,200,Fast Food,Amritsar,Basant Nagar,Quick Bites,None,NEW,NEW
Labbu Shah Kulcha King,300,"Street Food,North Indian",Amritsar,Ranjit Avenue,Quick Bites,Not rated,-,-
House Of Candy,200,Desserts,Amritsar,Ranjit Nagar,Confectionery,Not rated,-,-
Cafe Buddha,500,Cafe,Amritsar,Ranjit Avenue,Café,Not rated,-,-
Lookwell Bakers,300,Bakery,Amritsar,GT Road,Quick Bites,Average,3.0,4
Krazy Kitchen,300,"North Indian,Chinese",Amritsar,GT Road,Quick Bites,Not rated,-,-
RB Sahni Dhoklawala,150,Street Food,Amritsar,Ranjit Avenue,Quick Bites,Not rated,-,-
