NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Mojo Pizza - 2X Toppings,600,Pizza,Bengaluru,Bannerghatta Road,none,Very Good,4.2,395
Byg Brewski Brewing Company,1600,"Continental,North Indian,Italian,South Indian,Finger Food",Bengaluru,Sarjapur Road,Microbrewery,Excellent,4.9,17430
Meghana Foods,600,"Biryani,Andhra,North Indian,Seafood",Bengaluru,Koramangala 5th Block,Casual Dining,Very Good,4.4,7360
The Bier Library,2000,"Continental,North Indian,Pizza,BBQ",Bengaluru,Koramangala 6th Block,Microbrewery,Very Good,4.4,751
Hoot,1400,"Continental,Italian,North Indian",Bengaluru,Sarjapur Road,Microbrewery,Very Good,4.1,7458
Sarjapur Social,1500,"American,North Indian,Chinese,European,Asian,South Indian,Fast Food,Biryani",Bengaluru,Sarjapur Road,Casual Dining,Excellent,4.5,1426
Hammered,1300,"North Indian,Thai,Japanese,Continental,Cafe",Bengaluru,Cunningham Road,Pub,Excellent,4.6,5048
XOOX Brewmill,2000,"Modern Indian,European,Asian",Bengaluru,Koramangala 5th Block,Microbrewery,Excellent,4.5,1784
Glen's Bakehouse,600,"Bakery,Cafe,Italian,Desserts",Bengaluru,Indiranagar,Bakery,Very Good,4.3,5435
The Reservoire,1300,"Continental,North Indian,Chinese,American",Bengaluru,Koramangala 5th Block,Bar,Excellent,4.6,2726
Brew and Barbeque - A Microbrewery Pub,1400,"Continental,North Indian,BBQ,Steak",Bengaluru,Soul Space Arena Mall-- Marathahalli,Microbrewery,Excellent,4.6,6354
Al Daaz,550,"North Indian,Continental,BBQ",Bengaluru,HSR,Casual Dining,Very Good,4.3,737
Stories,1100,"Continental,North Indian,Chinese",Bengaluru,Rajajinagar,Casual Dining,Excellent,4.6,2644
The Druid Garden,1700,"Asian,Continental,European,North Indian,Mediterranean",Bengaluru,Sahakara Nagar,Microbrewery,Velmi dobré,4.3,3171
The Fisherman's Wharf,1400,"Seafood,Goan,North Indian,Continental,Asian",Bengaluru,Sarjapur Road,Casual Dining,Very Good,4.3,4207
Dine With Singhs,300,"North Indian,Chinese",Bengaluru,Koramangala 1st Block,Quick Bites,Good,3.6,25
Richie Rich,450,"Desserts,Beverages,Fast Food,Ice Cream",Bengaluru,Race Course Road,Dessert Parlor,Very Good,4.0,644
Carnival de Goa,1000,"Goan,Mangalorean,Pizza",Bengaluru,Ulsoor,Casual Dining,Very Good,4.2,1007
Fava,1200,"Healthy Food,Mediterranean,Desserts,Italian,Pizza,Salad,Kebab",Bengaluru,UB City,Casual Dining,Very Good,4.4,2079
Coast,750,"Seafood,Mangalorean,North Indian,Biryani",Bengaluru,Jeevan Bhima Nagar,Casual Dining,Average,3.2,110
Behrouz Biryani,650,Biryani,Bengaluru,RT Nagar,none,Very Good,4.3,81
Bangalore Pantry,400,"Chinese,North Indian,Biryani,Arabian",Bengaluru,Bannerghatta Road,Quick Bites,Good,3.8,56
Madeena Hotel,400,"North Indian,Mughlai,Biryani",Bengaluru,Koramangala 5th Block,Quick Bites,Very Good,4.1,113
#BEiR @ Church Street,1100,"Finger Food,Continental,Mexican,Burger",Bengaluru,Church Street,Pub,Very Good,4.0,781
McDonald's,500,"Burger,Fast Food",Bengaluru,Koramangala 5th Block,Quick Bites,Good,3.8,299
Biryani Rooh-e-Khaas,500,"Biryani,Mughlai",Bengaluru,HSR,none,Very Good,4.4,83
Tall Blonde French,400,Fast Food,Bengaluru,Koramangala 5th Block,Quick Bites,Very Good,4.3,742
Slay  Coffee,400,Coffee,Bengaluru,Koramangala 1st Block,none,None,NEW,NEW
Hotel Tom's Restaurant,1000,"Mangalorean,Seafood,Chinese,North Indian",Bengaluru,Richmond Road,Casual Dining,Very Good,4.4,736
Holiday Village,800,"North Indian,Chinese",Bengaluru,Kanakapura Road,Casual Dining,Good,3.9,287
Upahara Darshini,400,"South Indian,North Indian,Chinese",Bengaluru,Jayanagar,Quick Bites,Good,3.9,349
Occasions,400,"Bakery,Desserts",Bengaluru,Koramangala 4th Block,Bakery,Very Good,4.3,204
Brownie Points,300,"Bakery,Desserts",Bengaluru,Koramangala 4th Block,Bakery,Good,3.9,30
Andhra Vantakam,800,"Andhra,Chinese,North Indian,Seafood",Bengaluru,Rajajinagar,Casual Dining,Good,3.9,332
@Italy,700,"Italian,Pizza,Beverages",Bengaluru,Kumaraswamy Layout,Quick Bites,Very Good,4.1,319
Vegan Heat,650,"Salad,Italian,Beverages,Healthy Food",Bengaluru,Koramangala 1st Block,none,Very Good,4.2,321
Domino's Pizza,400,"Pizza,Fast Food",Bengaluru,Kumaraswamy Layout,Casual Dining,Good,3.6,19
Kailash Parbat,1200,North Indian,Bengaluru,Jayanagar,Food Court,Good,3.6,113
Pita Pit,500,"Healthy Food,Salad,Mexican,Beverages",Bengaluru,Whitefield,Quick Bites,Very Good,4.2,40
Chatora Singh,200,"North Indian,Fast Food",Bengaluru,Old Airport Road,Quick Bites,Good,3.9,53
