NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Sagar Gaire Fast Food,300,"North Indian,South Indian,Chinese,Fast Food,Beverages",Bhopal,TT Nagar,Quick Bites,Excellent,4.5,1401
Zam Zam Fast Food,500,"North Indian,Mughlai",Bhopal,Peer Gate Area,Casual Dining,Very Good,4.1,869
Manohar Dairy And Restaurant,400,"Street Food,South Indian,Fast Food,Desserts,North Indian,Chinese,Bakery,Mithai",Bhopal,Peer Gate Area,Quick Bites,Very Good,4.4,756
Vishnu Chinese Fast Food,350,"North Indian,South Indian,Chinese,Fast Food",Bhopal,Maharana Pratap Nagar,Quick Bites,Very Good,4.3,798
Khan Sahab,600,"North Indian,Mughlai",Bhopal,Peer Gate Area,Casual Dining,Very Good,4.2,739
Al-Beik,300,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,Very Good,4.3,1018
Anni Bhai ki Biryani,250,Biryani,Bhopal,JP Nagar,Quick Bites,Excellent,4.5,282
Bapu Ki Kutia,400,"North Indian,Chinese,South Indian,Fast Food,Street Food",Bhopal,TT Nagar,Quick Bites,Good,3.9,520
Rajhans Thali,600,North Indian,Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.5,605
Khan Chacha,500,North Indian,Bhopal,BHEL,Quick Bites,Very Good,4.0,593
The Public House Café n Restaurant,800,"North Indian,Cafe,Italian,Continental,Chinese",Bhopal,Maharana Pratap Nagar,Casual Dining,Excellent,4.9,774
Da pizzeria,500,"Pizza,Italian,Fast Food",Bhopal,Maharana Pratap Nagar,Casual Dining,Very Good,4.1,704
Bake N Shake,500,"Bakery,Chinese,Continental,Pizza,Italian,Sandwich,Beverages,Cafe",Bhopal,Arera Colony,Café,Excellent,4.6,649
Lazeez Hakeem,400,"North Indian,Chinese,Mughlai",Bhopal,Maharana Pratap Nagar,Casual Dining,Very Good,4.0,652
Shri Gurukripa Restaurant,400,North Indian,Bhopal,BHEL,Quick Bites,Very Good,4.4,373
Zauq,600,Mughlai,Bhopal,TT Nagar,Casual Dining,Very Good,4.2,98
Cafe Nine Bhopal,150,"Cafe,Fast Food,Burger,Sandwich,Desserts,Beverages",Bhopal,Maharana Pratap Nagar,Café,Good,3.7,145
Mowgli's Cafe,500,"Chinese,North Indian",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.8,98
Chef's Triangle,300,Fast Food,Bhopal,BHEL,Quick Bites,Very Good,4.2,130
Food City Restaurant,300,North Indian,Bhopal,Jhangirabad,Quick Bites,Average,3.4,127
Rajoriya Restaurant,250,North Indian,Bhopal,BHEL,Quick Bites,Good,3.9,77
The Sandwich Cafe,500,"Cafe,Bakery",Bhopal,Maharana Pratap Nagar,Café,Good,3.6,142
Arpit's Rivaayat,400,"Biryani,Hyderabadi",Bhopal,Arera Colony,Quick Bites,Good,3.9,174
Time Out Restaurant,600,"North Indian,Fast Food",Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.8,192
Rajoriya DK Restaurant,300,"Street Food,North Indian,Mithai",Bhopal,BHEL,Quick Bites,Good,3.6,106
Cakewalk,200,"Bakery,Desserts,Cafe",Bhopal,Arera Colony,Bakery,Good,3.9,154
Jharokha - Hotel Amer Palace,1500,"North Indian,Chinese",Bhopal,Maharana Pratap Nagar,Fine Dining,Very Good,4.0,116
The Chicken Express,200,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.9,148
Ma Karma Dairy & Bhojanalay,300,"North Indian,South Indian,Chinese",Bhopal,BHEL,Quick Bites,Average,2.9,105
Murga On Wheels,300,"North Indian,Biryani",Bhopal,Maharana Pratap Nagar,Quick Bites,Average,3.4,151
Chaat Chatore,250,"Fast Food,South Indian,Chinese,Sandwich,Beverages",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.8,71
Biryani Express,200,"Biryani,North Indian",Bhopal,Maharana Pratap Nagar,Food Truck,Good,3.8,125
LHD India,400,"North Indian,Mughlai,Chinese",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.8,125
Zyka The Taste,300,North Indian,Bhopal,Habib Ganj,Quick Bites,Average,2.9,112
Rubaab,800,"North Indian,Mughlai",Bhopal,Gulmohar Colony,Casual Dining,Good,3.8,124
Haryana Hot Dog,300,"Fast Food,Street Food,Beverages",Bhopal,BHEL,Quick Bites,Very Good,4.1,121
Mughal Darbar Family Restaurant,550,North Indian,Bhopal,Peer Gate Area,Casual Dining,Good,3.9,73
Picnik Restaurant,400,"North Indian,Chinese,South Indian,Sandwich,Salad",Bhopal,TT Nagar,Casual Dining,Good,3.9,131
Sawariya Bakery & Fast Food,250,"Bakery,Fast Food",Bhopal,TT Nagar,Bakery,Good,3.7,83
Cream Dream,250,Ice Cream,Bhopal,Kohefiza,Dessert Parlor,Good,3.9,88
Carnival Lawn,700,"Chinese,North Indian",Bhopal,Airport Area,Casual Dining,Not rated,-,-
Bum Chik Restaurant,550,North Indian,Bhopal,BHEL,Casual Dining,Average,2.7,112
Tea Talks,300,Cafe,Bhopal,TT Nagar,Café,Very Good,4.0,102
Ghamandi Lassi,150,Beverages,Bhopal,Maharana Pratap Nagar,Beverage Shop,Good,3.6,25
Chai 34,200,"Fast Food,Beverages,Burger,Tea",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.8,108
Drinx Exchange,1500,"Italian,Mexican,Chinese,North Indian,American,Desserts",Bhopal,DB City-- Maharana Pratap Nagar,Bar,Very Good,4.0,105
A-One Fast Food,300,Fast Food,Bhopal,Kohefiza,Quick Bites,Very Good,4.1,120
Happu Singh Di Hatti,200,North Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.9,38
Fresh Meal Basket,200,"North Indian,Mughlai",Bhopal,Maharana Pratap Nagar,none,Good,3.8,77
Vrindavan Dhaba's Timbuktoo,400,"North Indian,South Indian,Chinese,Fast Food,Beverages",Bhopal,Gulmohar Colony,Quick Bites,Good,3.7,71
Refresh Eat & Drink,300,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,Very Good,4.0,78
Taste Of India,500,"North Indian,South Indian,Beverages",Bhopal,Kolar,Quick Bites,Good,3.8,71
Gaagar,250,"Mithai,Bakery,Beverages,Desserts",Bhopal,TT Nagar,Sweet Shop,Very Good,4.2,76
Hotel Shikha,400,"North Indian,Chinese,South Indian",Bhopal,Peer Gate Area,Casual Dining,Good,3.6,128
Andhra Mirchi,1200,Andhra,Bhopal,Gulmohar Colony,Casual Dining,Good,3.7,117
Milan Sweets And Namkeen,200,"Street Food,Fast Food",Bhopal,Maharana Pratap Nagar,Sweet Shop,Very Good,4.1,33
Fluffy Bake Eats,400,"Bakery,Desserts",Bhopal,Maharana Pratap Nagar,Bakery,Good,3.9,82
Malhotra's Kitchen,300,North Indian,Bhopal,Arera Colony,none,Very Good,4.3,42
Fursat Chai Cafe,200,"Cafe,Fast Food",Bhopal,Maharana Pratap Nagar,Café,None,NEW,NEW
Jai Hind Bakery,700,"Bakery,Fast Food",Bhopal,Peer Gate Area,Bakery,Good,3.5,97
CAD(M) CAD(B),200,"Desserts,Cafe,Beverages",Bhopal,Maharana Pratap Nagar,Dessert Parlor,Good,3.8,69
Sugar Side Up,500,"Bakery,Desserts",Bhopal,TT Nagar,Bakery,Good,3.8,52
Kafeela - The Barbecue,300,Fast Food,Bhopal,Jhangirabad,Quick Bites,Good,3.9,136
Hungry Burger,200,Fast Food,Bhopal,Kohefiza,Casual Dining,Very Good,4.0,63
Waffle Hut,400,"Desserts,Beverages",Bhopal,Aashima Mall-- Hoshangabad Road,Dessert Parlor,Good,3.7,62
Bake Story,250,Cafe,Bhopal,Hoshangabad Road,Café,Very Good,4.1,112
Hotel Amer Greens,300,"North Indian,Chinese",Bhopal,Hoshangabad Road,Quick Bites,Good,3.9,112
Kundan Namkeen Center,300,"Mithai,Fast Food",Bhopal,Peer Gate Area,Sweet Shop,Good,3.8,64
The Indian Spice,450,"Biryani,Fast Food,Mughlai",Bhopal,Airport Area,Casual Dining,Good,3.7,112
LIG Maggi & Pasta,250,Fast Food,Bhopal,Kohefiza,Quick Bites,Average,3.4,96
Uncle's Kitchen,400,"North Indian,Chinese,South Indian,Mughlai",Bhopal,TT Nagar,Quick Bites,Good,3.9,113
The Tongue Twister,250,Fast Food,Bhopal,Maharana Pratap Nagar,none,None,NEW,NEW
Atari,300,Fast Food,Bhopal,BHEL,Quick Bites,Good,3.5,61
The Bhopal Canteen,250,"Chinese,North Indian,South Indian",Bhopal,Maharana Pratap Nagar,Quick Bites,None,NEW,NEW
Pooja Veg Bhojanalay,400,North Indian,Bhopal,Maharana Pratap Nagar,Bhojanalya,Good,3.7,67
Gandhi Dham,250,North Indian,Bhopal,TT Nagar,Quick Bites,Good,3.6,90
Taste of Zaffran,200,"North Indian,Chinese,Biryani",Bhopal,Hoshangabad Road,Food Court,Average,2.7,78
Urban Tohfa,300,"Bakery,Desserts",Bhopal,Gulmohar Colony,Bakery,Good,3.7,34
Cook Dooh Kooh,500,"North Indian,Kebab,Chinese,Street Food",Bhopal,Gulmohar Colony,Quick Bites,Good,3.6,95
Nukkad BBQ,500,"North Indian,BBQ",Bhopal,TT Nagar,Casual Dining,Good,3.7,146
Bhukkad Bites,200,"Chinese,Fast Food,Beverages",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.8,50
The Relish Prince,300,"Pizza,Fast Food,Burger,Sandwich,Beverages",Bhopal,Aura Mall,Quick Bites,Good,3.9,44
Hungry Like Us,450,Burger,Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.7,45
H2S - Hunger Solution Hub,250,Fast Food,Bhopal,BHEL,Quick Bites,Not rated,-,-
Hello Foodie,100,"North Indian,Chinese,Fast Food",Bhopal,BHEL,Quick Bites,Good,3.7,28
Moksh,500,Cafe,Bhopal,Kohefiza,Café,Good,3.5,135
The Thela Fast Food,200,Fast Food,Bhopal,Airport Area,Quick Bites,Good,3.6,59
Bistro 9 ¾,400,"Chinese,Beverages,Desserts,Fast Food",Bhopal,TT Nagar,Quick Bites,Good,3.8,50
Sweet Posse,400,"Fast Food,Bakery",Bhopal,JP Nagar,Quick Bites,Average,3.3,50
Aesthetic’s Nutrition,350,Healthy Food,Bhopal,Arera Colony,Quick Bites,Very Good,4.0,53
The Royal Punjab Flavours,300,North Indian,Bhopal,Hoshangabad Road,Quick Bites,Good,3.7,49
Al- Zaid Fast Food,400,Fast Food,Bhopal,Peer Gate Area,Quick Bites,Very Good,4.0,127
Taste Of Family Restaurant,400,"Fast Food,North Indian,Chinese",Bhopal,Kolar,Quick Bites,Good,3.9,93
Delhi 6,500,North Indian,Bhopal,DB City-- Maharana Pratap Nagar,Quick Bites,Good,3.6,80
SKY 55,600,Continental,Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.8,61
Nilisha's Kitchen,350,"Bakery,Desserts",Bhopal,Peer Gate Area,Bakery,Good,3.9,21
Foodies,400,"North Indian,Chinese",Bhopal,Kohefiza,Quick Bites,Average,3.4,78
The Nest Restaurant,400,"North Indian,Chinese,Biryani,South Indian,Beverages,Desserts",Bhopal,Gulmohar Colony,Casual Dining,Average,3.4,90
Blue Heaven Cakes & Flowers,300,"Bakery,Desserts,Cafe,Beverages",Bhopal,Gulmohar Colony,Bakery,Average,3.3,15
Rajwada Food Pub,250,"South Indian,North Indian,Italian,Continental,Chinese,Beverages",Bhopal,Maharana Pratap Nagar,none,None,NEW,NEW
Rajhans Thali,500,North Indian,Bhopal,Hoshangabad Road,Quick Bites,Good,3.9,106
The Backbenchers,300,"Pizza,Fast Food,Sandwich,Beverages",Bhopal,Kolar,Café,Good,3.9,35
Red Velvet Cafe,400,Bakery,Bhopal,Hoshangabad Road,Café,Average,3.3,45
Rajasthan Mishthan Bhandar,200,"Mithai,Street Food",Bhopal,Kohefiza,Sweet Shop,Good,3.6,18
Honey Punjabi Dhaba,300,"North Indian,Fast Food",Bhopal,BHEL,Dhaba,Good,3.9,35
AJ's Cafe,500,"North Indian,Chinese,Rolls,Fast Food,Sandwich,Cafe,Beverages",Bhopal,Maharana Pratap Nagar,Café,Good,3.6,112
Half Plate,500,"North Indian,Kebab,Beverages",Bhopal,Arera Colony,Food Truck,Average,2.8,62
Begum’s BBQ,800,"North Indian,Chinese",Bhopal,Peer Gate Area,Casual Dining,Good,3.6,118
Merhaba,250,North Indian,Bhopal,Peer Gate Area,Quick Bites,Very Good,4.1,135
Bikaner Sweets And Namkeen,250,"Mithai,Street Food",Bhopal,BHEL,Sweet Shop,Average,3.4,30
Hindustani Chicken Briryani,200,Biryani,Bhopal,Peer Gate Area,Quick Bites,Good,3.7,35
Hotel Rajdhani,250,North Indian,Bhopal,Arera Colony,Quick Bites,Good,3.8,62
Dhaba Cafe,300,"Fast Food,Street Food,Italian,Sandwich,Pizza,Beverages",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.5,28
Mittal Kachori Centre,250,"Street Food,North Indian,Rajasthani",Bhopal,BHEL,Quick Bites,Average,3.0,33
Amour Ice Cream,300,Ice Cream,Bhopal,Peer Gate Area,Dessert Parlor,Very Good,4.0,74
Mahakaal Restaurant,400,"North Indian,Chinese",Bhopal,Jhangirabad,Quick Bites,Average,2.9,37
The Ultimate Foodie,300,North Indian,Bhopal,BHEL,Quick Bites,Very Good,4.1,72
Kolkata Chole Bhature,200,North Indian,Bhopal,TT Nagar,none,Good,3.5,26
Bay Of Bengal,550,"Chinese,Mughlai",Bhopal,Gulmohar Colony,Quick Bites,Very Good,4.0,84
Bikaner Misthan Bhandar,150,"Mithai,Desserts",Bhopal,Kolar,Sweet Shop,Good,3.6,24
Dosa Junction,400,South Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,Average,3.3,45
Spicy Fast Food Center,250,"North Indian,Chinese",Bhopal,Airport Area,Quick Bites,Good,3.6,26
Indian Tea House,200,"Beverages,Fast Food",Bhopal,Peer Gate Area,Beverage Shop,Very Good,4.0,104
Mamma's Burger,300,Burger,Bhopal,Kohefiza,Quick Bites,Good,3.6,41
Dilli Da Zaika,500,"North Indian,Continental,Chinese",Bhopal,Gulmohar Colony,Casual Dining,Average,3.4,28
Chappan Bhog,400,"Street Food,Desserts",Bhopal,TT Nagar,Quick Bites,Average,2.6,27
Hotel Afghan,400,Afghan,Bhopal,Kohefiza,Quick Bites,Very Good,4.0,102
Abaking,350,"Bakery,Desserts,Fast Food",Bhopal,Arera Colony,Bakery,Good,3.6,20
Mumbai Delights,250,"North Indian,Fast Food",Bhopal,Gulmohar Colony,Quick Bites,Good,3.7,29
The Local Eatery,500,Fast Food,Bhopal,Gulmohar Colony,Quick Bites,Good,3.8,26
Raju South Indian Corner,300,South Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.7,39
Navratna,350,North Indian,Bhopal,Hoshangabad Road,Quick Bites,Good,3.8,66
Burgerland,150,"Fast Food,Burger",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.7,17
Mohan Bhai Chicken And Chinese Corner,250,"Mughlai,Chinese,Biryani",Bhopal,Kolar,Casual Dining,Good,3.7,27
Wah Ji Wah,300,"North Indian,Chinese",Bhopal,TT Nagar,Quick Bites,Good,3.5,32
24 Hours Food Factory,400,"North Indian,Chinese",Bhopal,Maharana Pratap Nagar,none,Poor,2.4,42
Baba Vada Pav,300,"Fast Food,Maharashtrian,Street Food,Beverages,Burger",Bhopal,BHEL,Quick Bites,Average,3.4,32
Ratan Hotel,250,Fast Food,Bhopal,Peer Gate Area,Quick Bites,None,NEW,NEW
Wild Smack,200,North Indian,Bhopal,Gulmohar Colony,Casual Dining,Good,3.8,24
Delhi Ke Chole Bature,200,North Indian,Bhopal,TT Nagar,Quick Bites,Average,3.2,25
Varsha Sweets and Proteins,200,"Mithai,Street Food",Bhopal,Kohefiza,Sweet Shop,Good,3.5,23
Sandwich Express,200,"Sandwich,Burger,Fast Food",Bhopal,Aashima Mall-- Hoshangabad Road,Quick Bites,Average,3.4,26
HOC (High On Chai),100,"Tea,Beverages,Fast Food",Bhopal,Jhangirabad,Beverage Shop,None,NEW,NEW
Agrawal Sweets And Restaurant,200,"Mithai,North Indian",Bhopal,BHEL,Quick Bites,Good,3.6,17
Zaiqa-e-Lucknavi,200,Lucknowi,Bhopal,Peer Gate Area,Quick Bites,Very Good,4.1,120
Mom's Kitchen,300,North Indian,Bhopal,Jhangirabad,Quick Bites,Good,3.6,21
R J Paratha House,300,Fast Food,Bhopal,BHEL,Quick Bites,Average,3.4,39
Taste Of Chenaa,200,"Mithai,Street Food",Bhopal,Gulmohar Colony,Sweet Shop,Average,3.0,5
Pandit Fast Food,250,"Fast Food,Chinese",Bhopal,Jhangirabad,Quick Bites,None,NEW,NEW
The Belgian Waffle Co.,350,"Desserts,Beverages",Bhopal,Maharana Pratap Nagar,Dessert Parlor,Average,3.2,23
The Belgian Waffle Co.,350,"Desserts,Beverages",Bhopal,Maharana Pratap Nagar,Dessert Parlor,Average,3.2,23
WTF - Where's the food cafe,300,Fast Food,Bhopal,TT Nagar,Quick Bites,Good,3.6,37
Heera Sweets and Namkeen,300,"Mithai,Fast Food",Bhopal,Kolar,Quick Bites,Good,3.6,21
Vibe Restro Bar,1500,"North Indian,Finger Food,Continental,Italian",Bhopal,Arera Colony,Casual Dining,Good,3.7,75
Rasoi,800,"North Indian,Chinese",Bhopal,Jhangirabad,Casual Dining,Good,3.5,21
Vyanjan Restaurant,500,"North Indian,South Indian,Chinese",Bhopal,JP Nagar,Quick Bites,Good,3.5,28
8Plates,600,North Indian,Bhopal,Arera Colony,Quick Bites,Good,3.6,62
Aadi's Cool Plaza,200,"Ice Cream,Fast Food,Beverages",Bhopal,Gulmohar Colony,none,Not rated,-,-
Bhopal Udipi Restaurant,600,"South Indian,North Indian",Bhopal,JP Nagar,Casual Dining,Average,3.2,13
My Foods Cafe,200,"South Indian,North Indian,Fast Food,Sandwich,Chinese,Beverages",Bhopal,TT Nagar,Quick Bites,Average,2.8,24
Mishra Bhojnalaya & Restaurant,600,"Indian,Chinese",Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.6,33
Raju Restaurant,250,"Fast Food,Beverages",Bhopal,Jhangirabad,Quick Bites,Average,3.4,13
Bittu Food Corner,200,"Fast Food,Street Food,Rolls",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.5,18
Meal On!!,300,"North Indian,South Indian",Bhopal,BHEL,Quick Bites,Good,3.5,27
J Vedi Appan,300,South Indian,Bhopal,BHEL,Quick Bites,Average,3.4,25
Swastik Pure Veg Restaurant,300,"North Indian,Biryani,Chinese",Bhopal,BHEL,Quick Bites,Very Good,4.3,538
CKC Restaurant,400,"North Indian,Fast Food,Chinese",Bhopal,Gulmohar Colony,Quick Bites,Very Good,4.1,258
KFC,550,"Burger,Fast Food",Bhopal,DB City-- Maharana Pratap Nagar,Quick Bites,Very Good,4.3,578
Vrindavan Dhaba,450,"North Indian,Chinese,Beverages,Fast Food",Bhopal,Hoshangabad Road,Quick Bites,Good,3.9,350
Milan Restaurant,300,"North Indian,South Indian,Fast Food,Beverages",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.9,335
Ganesh Chinese & Fast Food,300,"Fast Food,Chinese,North Indian",Bhopal,Kolar,Quick Bites,Very Good,4.1,356
Mamaji Jalebi Wale,200,"Mithai,Desserts,Street Food",Bhopal,Peer Gate Area,Sweet Shop,Good,3.9,423
Tilak's Chocolady Bakery & Restaurant,800,"North Indian,South Indian,Chinese,Sandwich,Beverages",Bhopal,Gulmohar Colony,Casual Dining,Excellent,4.5,397
Naveen's Bapu ki Kutia,550,"North Indian,Biryani,South Indian,Fast Food,Desserts",Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.8,690
Pizza Hut,650,"Pizza,Fast Food",Bhopal,DB City-- Maharana Pratap Nagar,Casual Dining,Good,3.7,502
Pakiza Restaurant,350,North Indian,Bhopal,Peer Gate Area,Quick Bites,Good,3.9,327
Hakeem's,600,"Mughlai,Chinese,North Indian,Kebab,Hyderabadi,Biryani",Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.9,350
Sehra's Morar Restaurant,500,North Indian,Bhopal,BHEL,Quick Bites,Good,3.7,353
McDonald's,500,"Burger,Fast Food",Bhopal,DB City-- Maharana Pratap Nagar,Quick Bites,Very Good,4.2,485
Daawat,300,"North Indian,Chinese,Rolls,Beverages",Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.8,324
HL Rooftop Restaurant,800,"Continental,North Indian",Bhopal,Arera Colony,Casual Dining,Good,3.5,21
Brown Sugar Cafe,400,"Cafe,Bakery",Bhopal,Gulmohar Colony,Café,Poor,2.1,74
Tea Friend's,100,"Tea,Fast Food,Bakery,Coffee",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.5,22
Hide Away Grill,600,North Indian,Bhopal,Arera Colony,Casual Dining,Good,3.5,28
Hotel Sai Mahima,400,North Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.7,66
