NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Biryani Bhubaneswar,300,Biryani,Bhubaneswar,Kharabela Nagar,Quick Bites,Very Good,4.0,1403
Chili's Grill & Bar,700,"Tex-Mex,Fast Food",Bhubaneswar,Sahid Nagar,Casual Dining,Excellent,4.9,303
Narula's Restaurant,600,"North Indian,Mughlai",Bhubaneswar,Ashok Nagar,Casual Dining,Very Good,4.4,934
Biryani247,300,"Biryani,North Indian,Mughlai,Momos",Bhubaneswar,Satya Nagar,none,Good,3.9,1112
Biggies Burger 'n' More,300,Fast Food,Bhubaneswar,Patia,Quick Bites,Very Good,4.4,679
Sher-e-Punjab,500,"North Indian,Chinese,Mughlai",Bhubaneswar,Khandagiri,Casual Dining,Good,3.7,660
KFC,500,"Burger,Fast Food",Bhubaneswar,Kharabela Nagar,Quick Bites,Very Good,4.2,672
9th Bistro,700,"North Indian,Continental,Chinese",Bhubaneswar,Sahid Nagar,Casual Dining,Very Good,4.3,292
Domino's Pizza,700,"Pizza,Fast Food",Bhubaneswar,Patia,Quick Bites,Very Good,4.0,835
Three Kings,600,"Arabian,Mughlai,Lebanese",Bhubaneswar,Patia,Casual Dining,Excellent,4.5,334
The Hungrill,200,Fast Food,Bhubaneswar,Sahid Nagar,Quick Bites,Good,3.5,441
Brothers Kitchen & Fast Food,350,"North Indian,Chinese,Fast Food",Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.6,496
Bawarchi ten11 Restaurant,350,"North Indian,South Indian,Chinese,Fast Food",Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.7,598
Aangan Horizon,1200,"North Indian,Chinese,Continental",Bhubaneswar,Patia,Casual Dining,Very Good,4.2,922
Foodzo,300,"Chinese,North Indian",Bhubaneswar,Khandagiri,none,Very Good,4.0,401
Stark Bistro,600,Cafe,Bhubaneswar,Patia,Café,Very Good,4.0,216
Qdoba,250,"Mexican,Fast Food",Bhubaneswar,Satya Nagar,Food Truck,Very Good,4.3,367
Keyar's Food Multi Cuisine,600,"North Indian,Chinese",Bhubaneswar,Sahid Nagar,Casual Dining,Good,3.8,419
Charcoal,800,"Chinese,Continental,North Indian,Italian",Bhubaneswar,Patia,Casual Dining,Very Good,4.2,533
Dalma,500,Oriya,Bhubaneswar,Unit 4,Casual Dining,Good,3.7,367
Hunger Station,400,"Chinese,Continental,North Indian,Mexican",Bhubaneswar,Patia,Casual Dining,Good,3.9,304
Sardar Ji Restaurant,300,North Indian,Bhubaneswar,Patia,Quick Bites,Good,3.6,417
Khopcha,450,"Mexican,Chinese,Continental",Bhubaneswar,Patia,Casual Dining,Good,3.9,297
Malva Restaurant,1000,"North Indian,Chinese,Continental,Thai",Bhubaneswar,Patia,Casual Dining,Very Good,4.2,498
The Kanopy - Exotic Rooftop Restaurant,900,"Chinese,Cafe,Continental,Modern Indian",Bhubaneswar,Patia,Casual Dining,Good,3.7,498
Gupshup,250,Cafe,Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.6,331
WOW Biryani,250,Biryani,Bhubaneswar,BJB Nagar,Quick Bites,Good,3.5,91
Genuine Broaster Chicken,500,"Continental,American",Bhubaneswar,Patia,Quick Bites,Very Good,4.3,455
Grand Kalinga,500,"North Indian,Chinese",Bhubaneswar,Chandrasekharpur,Casual Dining,Good,3.8,436
BrewBakes 7 Sky,300,"Desserts,Cafe,Bakery",Bhubaneswar,Jagmohan Nagar,Bakery,Good,3.9,360
Cream Stone,400,"Desserts,Ice Cream",Bhubaneswar,Jayadev Vihar,Dessert Parlor,Excellent,4.6,273
Baba's Exotic Biryani Lounge,400,Biryani,Bhubaneswar,Nayapalli,Casual Dining,Good,3.8,267
Spice Club,600,"Biryani,Kebab,North Indian",Bhubaneswar,Jagmohan Nagar,Casual Dining,Good,3.9,189
Echoes,1900,"Finger Food,Chinese,Fast Food,North Indian",Bhubaneswar,Patia,Bar,Very Good,4.0,212
Capital Biryani Centre,500,"North Indian,Biryani",Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.8,365
Priya,300,"South Indian,North Indian",Bhubaneswar,Jayadev Vihar,Casual Dining,Very Good,4.0,337
All Swag,600,Cafe,Bhubaneswar,Jagmohan Nagar,Casual Dining,Good,3.8,344
Mughlai Roast,300,"Mughlai,Biryani",Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.8,507
Dakhin 9,500,"North Indian,Chinese",Bhubaneswar,Chandrasekharpur,Casual Dining,Good,3.8,426
Dolphin Restaurant,400,Fast Food,Bhubaneswar,Patia,Quick Bites,Good,3.9,268
Lal Qila,600,"Mughlai,Chinese,North Indian",Bhubaneswar,Patia,Casual Dining,Very Good,4.0,547
House of Biryani,300,"Biryani,Chinese,Mughlai",Bhubaneswar,Patia,Quick Bites,Average,2.7,422
Cafe Italiano,400,"Fast Food,Italian",Bhubaneswar,Chandrasekharpur,Quick Bites,Very Good,4.2,330
