_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""The Night Factory""","""1200""","""North Indian,Chinese,Italian""","""Chandigarh""","""Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/the-night-factory-chandigarh-industrial-area/info""","""1""","""none""","""24""","""Very Good""","""4.0""","""2074"""
"""Veera Da Dhaba""","""250""","""North Indian""","""Chandigarh""","""Phase 7-- Mohali""","""https://www.zomato.com/chandigarh/veera-da-dhaba-phase-7-mohali/info""","""1""","""none""","""1pm to 4am(Mon-Sun)""","""Good""","""3.7""","""40"""
"""Sector 7 Social""","""1400""","""Continental,American,Asian,North Indian,Momos,Beverages""","""Chandigarh""","""Sector 7-- Chandigarh""","""https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info""","""1""","""Lounge""","""9am to 12midnight(Mon-Sun)""","""Excellent""","""4.7""","""2558"""
"""La Pino'z Pizza""","""500""","""Pizza,Fast Food""","""Chandigarh""","""Inner market-- Sector 9 D-- Chandigarh""","""https://www.zomato.com/chandigarh/la-pinoz-pizza-1-sector-9/info""","""1""","""Quick Bites""","""11am to 12midnight(Mon-Sun)""","""Very Good""","""4.2""","""1333"""
"""Katani Dhaba""","""450""","""North Indian,Chinese""","""Chandigarh""","""Phase 3B2 Market-- Phase 3 Mohali""","""https://www.zomato.com/chandigarh/katani-dhaba-phase-3-mohali/info""","""1""","""Casual Dining""","""8am to 1130pm(Mon-Sun)""","""Very Good""","""4.1""","""1416"""
"""Bhena Da Dhaba""","""250""","""North Indian""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/bhena-da-dhaba-phase-5-mohali/info""","""1""","""Quick Bites""","""8am to 1145pm(Mon-Sun)""","""Good""","""3.9""","""1674"""
"""Chandigarh Flavours""","""550""","""North Indian,Chinese,Burger,Fast Food""","""Chandigarh""","""Sector 46-- Chandigarh""","""https://www.zomato.com/chandigarh/chandigarh-flavours-sector-46/info""","""1""","""Quick Bites""","""7pm to 4am(Mon-Sun)""","""Good""","""3.9""","""1146"""
"""Boathouse""","""1500""","""European,Continental,North Indian,Finger Food,Sushi,Asian""","""Chandigarh""","""Elante Mall-- Chandigarh Industrial Area""","""https://www.zomato.com/boathouse/info""","""1""","""Microbrewery""","""11am to 1230AM(Mon-Sun)""","""Excellent""","""4.7""","""1380"""
"""Mom's Kitchen""","""500""","""North Indian,Fast Food,Chinese""","""Chandigarh""","""Sector 22-- Chandigarh""","""https://www.zomato.com/chandigarh/moms-kitchen-sector-22/info""","""1""","""Quick Bites""","""9am to 4pm,630pm to 1130pm(Mon-Sun)""","""Good""","""3.8""","""851"""
"""Subway""","""500""","""Healthy Food,Sandwich,Salad""","""Chandigarh""","""Phase 10-- Mohali""","""https://www.zomato.com/chandigarh/subway-phase-10-mohali/info""","""1""","""Quick Bites""","""9am to 12midnight(Mon-Sun)""","""Very Good""","""4.3""","""1440"""
"""Baba Chicken""","""600""","""North Indian,Mughlai""","""Chandigarh""","""Phase 10-- Mohali""","""https://www.zomato.com/chandigarh/baba-chicken-1-phase-10-mohali/info""","""1""","""Casual Dining""","""11am to 1130pm(Mon-Sun)""","""Good""","""3.8""","""824"""
"""Domino's Pizza""","""700""","""Pizza,Fast Food""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/dominos-pizza-phase-5-mohali/info""","""1""","""Quick Bites""","""11am to 12midnight(Mon-Sun)""","""Very Good""","""4.0""","""807"""
"""Food@U""","""700""","""North Indian,Chinese,South Indian,Rolls""","""Chandigarh""","""Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/foodu-chandigarh-industrial-area/info""","""1""","""Quick Bites""","""9am to 330am(Mon-Sun)""","""Very Good""","""4.2""","""2130"""
"""Pizza Galleria""","""400""","""Pizza,Fast Food""","""Chandigarh""","""Sector 40-- Chandigarh""","""https://www.zomato.com/chandigarh/pizza-galleria-sector-40/info""","""1""","""Quick Bites""","""930am to 12midnight(Mon-Sun)""","""Very Good""","""4.1""","""395"""
"""Tossin Pizza""","""900""","""Pizza,Italian""","""Chandigarh""","""Sector 35-- Chandigarh""","""https://www.zomato.com/chandigarh/tossin-pizza-sector-35/info""","""1""","""Casual Dining""","""11am to 1am(Mon-Sun)""","""Very Good""","""4.2""","""847"""
"""Oberoi Verka Milk Bar""","""300""","""Fast Food,Beverages""","""Chandigarh""","""Sector 17-- Chandigarh""","""https://www.zomato.com/chandigarh/oberoi-verka-milk-bar-1-sector-17/info""","""100""","""Quick Bites""","""8am to 10pm(Mon-Sun)""","""Average""","""3.1""","""6"""
"""Cakes & Shakes""","""400""","""Bakery,Fast Food,Beverages""","""Chandigarh""","""Sector 47-- Chandigarh""","""https://www.zomato.com/chandigarh/cakes-shakes-sector-47/info""","""100""","""Bakery""","""10am to 10pm(Mon-Sun)""","""Average""","""2.7""","""11"""
"""Goldie's Roost""","""800""","""North Indian,Chinese""","""Chandigarh""","""Inner Market-- Sector 8 B-- Chandigarh""","""https://www.zomato.com/chandigarh/goldies-roost-sector-8/info""","""100""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.5""","""190"""
"""Fauji Dhaba""","""200""","""North Indian""","""Chandigarh""","""Sector 15-- Chandigarh""","""https://www.zomato.com/chandigarh/fauji-dhaba-sector-15/info""","""100""","""Dhaba""","""11am to 10pm(Mon-Sun)""","""Average""","""3.4""","""18"""
"""The Kaifer Fast Service""","""450""","""North Indian,Chinese""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/the-kaifer-fast-service-phase-5-mohali/info""","""100""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""13"""
"""Oh Mumbai !!!""","""600""","""Biryani,South Indian,Seafood,Salad""","""Chandigarh""","""VIP Road""","""https://www.zomato.com/chandigarh/oh-mumbai-vip-road-zirakpur/info""","""100""","""none""","""7am to 9pm(Mon-Sun)""","""Average""","""3.0""","""5"""
"""Videsi Shack""","""250""","""Beverages,Burger,Pizza""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/videsi-shack-kharar-road-mohali/info""","""100""","""Casual Dining""","""9am to 10pm(Mon-Sun)""","""Average""","""3.0""","""5"""
"""Twisting Scoops""","""250""","""Ice Cream""","""Chandigarh""","""Elante Mall-- Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/twisting-scoops-chandigarh-industrial-area/info""","""100""","""Food Court""","""11am to 11pm(Mon-Sun)""","""Average""","""3.4""","""11"""
"""Bille Da Punjabi Dhaba""","""350""","""North Indian""","""Chandigarh""","""Sector 28-- Chandigarh""","""https://www.zomato.com/chandigarh/bille-da-punjabi-dhaba-sector-28/info""","""100""","""Dhaba""","""7am to 11pm(Mon-Sun)""","""Average""","""3.0""","""5"""
"""Baker's Cafe""","""200""","""Bakery,Fast Food""","""Chandigarh""","""Sector 47-- Chandigarh""","""https://www.zomato.com/chandigarh/bakers-cafe-sector-47/info""","""100""","""Bakery""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""37"""
"""Aggarwal Sweets""","""250""","""Mithai,Street Food""","""Chandigarh""","""Utrathiya""","""https://www.zomato.com/chandigarh/aggarwal-sweets-utrathiya-zirakpur/info""","""100""","""none""","""830am to 8pm(Mon-Sun)""","""Good""","""3.5""","""33"""
"""Singh Sons""","""150""","""Bakery,Fast Food""","""Chandigarh""","""Sector 7-- Panchkula""","""https://www.zomato.com/chandigarh/singh-sons-sector-7-panchkula/info""","""100""","""Bakery""","""8am to 11pm(Mon-Sun)""","""Average""","""3.4""","""64"""
"""New Cold Fusion""","""250""","""Fast Food,Beverages""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/new-cold-fusion-phase-5-mohali/info""","""100""","""Quick Bites""","""11am to 9pm(Mon-Sun)""","""Average""","""3.2""","""10"""
"""Amritsari Kulcha""","""150""","""Street Food""","""Chandigarh""","""Sector 20-- Panchkula""","""https://www.zomato.com/amritsari-kulcha-food-truck/info""","""100""","""Food Truck""","""11am to 11pm(Mon-Sun)""","""Average""","""2.8""","""49"""
"""Bikaner Namkeen & Bakers""","""200""","""Bakery,Fast Food""","""Chandigarh""","""Sector 32-- Chandigarh""","""https://www.zomato.com/chandigarh/bikaner-namkeen-bakers-sector-32/info""","""100""","""Bakery""","""830am to 930pm(Mon-Sun)""","""Average""","""3.0""","""5"""
