NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Dhaba Estd 1986 Delhi,1500,"North Indian,Desserts,Beverages",Chennai,Ispahani Centre-- Nungambakkam,Casual Dining,Excellent,4.6,1284
Copper Kitchen,800,"Seafood,North Indian,Chinese,Mughlai,Biryani",Chennai,Porur,Casual Dining,Excellent,4.6,3927
Palmshore,1000,"Seafood,Biryani,Kebab,North Indian,Chinese,Arabian,BBQ,Juices",Chennai,Ashok Nagar,Casual Dining,Excellent,4.5,3203
Guntur Gongura,400,"North Indian,Chinese,Biryani",Chennai,Sholinganallur,Casual Dining,Good,3.7,2086
Hoppipola,1400,"Continental,Mediterranean,American",Chennai,The Spring Hotel-- Nungambakkam,Bar,Very Good,4.2,959
Joker's Kitchen,800,"Continental,Italian",Chennai,Alwarpet,Casual Dining,Very Good,4.4,707
Axpress BBQ,700,"Kebab,BBQ,North Indian,Rolls,Malaysian",Chennai,Karapakkam,Casual Dining,Excellent,4.7,564
Bhangra,800,North Indian,Chennai,Mayajaal Multiplex-- Kanathur,Casual Dining,Excellent,4.9,1483
Soy Soi,1400,"Burmese,Thai,Vietnamese,Indonesian,Singaporean,Japanese,Malaysian",Chennai,Kotturpuram,Casual Dining,Excellent,4.5,683
Big Bang Theory - Bar & Kitchen,1500,"American,Continental",Chennai,Kodambakkam,Bar,Very Good,4.2,1198
Hotelkaar Biriyani,350,"Chinese,South Indian,Biryani",Chennai,T. Nagar,Quick Bites,Very Good,4.0,846
Wild Garden Cafe - Amethyst,1400,"Cafe,Italian,Continental",Chennai,Royapettah,Café,Very Good,4.3,1828
AB's - Absolute Barbecues,1400,"BBQ,North Indian,European,Mediterranean",Chennai,Velachery,Casual Dining,Excellent,4.8,3188
Arab Street,800,"Arabian,Biryani,Chinese,North Indian,Italian",Chennai,Kodambakkam,Casual Dining,Very Good,4.1,1130
Savoury Sea Shell,800,"Arabian,Chinese,North Indian,Biryani,Kerala,Salad,BBQ,Burger",Chennai,Anna Nagar East,Casual Dining,Very Good,4.1,2388
Mr. Sandwich,400,Fast Food,Chennai,Chromepet,Quick Bites,Average,2.9,460
Dhaba In The City,400,"North Indian,Chinese",Chennai,Perungudi,Casual Dining,Good,3.9,373
Paradise,800,"Biryani,North Indian,Chinese",Chennai,Perungudi,Casual Dining,Very Good,4.4,4643
Buzz - The Gateway Hotel,2500,"North Indian,South Indian,European,Continental",Chennai,The Gateway Hotel: IT Expressway-- Sholinganallur,Fine Dining,Very Good,4.0,304
Oh So Stoned,350,"Ice Cream,Desserts",Chennai,Alwarpet,Dessert Parlor,Very Good,4.2,284
Fromage,1000,"Cafe,Italian,French,European",Chennai,MRC Nagar,Café,Excellent,4.5,827
Al Raabias Biriyani,500,"North Indian,Chinese,Biryani",Chennai,Perambur,Quick Bites,Good,3.9,361
Sukkubhai Biriyani,200,Biryani,Chennai,Alandur,Quick Bites,Very Good,4.4,2116
Inchins,600,"Biryani,Chettinad,North Indian,Chinese,Arabian",Chennai,Anna Nagar West,Casual Dining,Good,3.6,384
Blind Ch3mistry,550,"Cafe,Fast Food,Beverages",Chennai,Besant Nagar,Café,Excellent,4.5,1370
Milkshake And Co.,400,"Beverages,Fast Food",Chennai,Besant Nagar,Beverage Shop,Excellent,4.8,132
Frozen Bottle,400,"Beverages,Desserts,Ice Cream",Chennai,Anna Nagar West,Beverage Shop,Good,3.9,200
Nalaas Aappakadai,650,"Chettinad,South Indian,North Indian,Chinese",Chennai,Anna Nagar West,Casual Dining,Average,2.6,333
Pandia's Avenue,600,"Chettinad,North Indian,Chinese",Chennai,Royapuram,Casual Dining,Good,3.9,373
Ramzan Mehal Briyani,300,"Biryani,Mughlai,Arabian",Chennai,Kilpauk,Quick Bites,Good,3.6,396
AVK Home Meals & Fish Fry Centre,200,"Fast Food,South Indian",Chennai,Saligramam,Quick Bites,Good,3.7,51
Irfi Cake and Cafe,400,"Bakery,Fast Food",Chennai,Medavakkam,Bakery,Average,3.4,53
Chennai Woodlands,300,"South Indian,North Indian",Chennai,Parrys,Casual Dining,Average,3.3,52
The Grill Factory,400,"Chinese,Arabian",Chennai,Thuraipakkam,Food Court,Good,3.7,51
Eat Shawarma,300,Street Food,Chennai,Adyar,Quick Bites,Good,3.7,43
Unique kitchen,300,"Sandwich,Street Food,Juices",Chennai,Washermenpet,Quick Bites,Average,3.2,38
Lassiwala,350,North Indian,Chennai,Selaiyur,Quick Bites,Good,3.6,47
Sandwich House,450,"Fast Food,Sandwich",Chennai,Old Mahabalipuram Road (OMR),Quick Bites,Average,3.3,44
Cane 4 U,100,Beverages,Chennai,Besant Nagar,Beverage Shop,Good,3.8,49
Harish's Aunty Chaat,250,"Chinese,North Indian,Street Food",Chennai,Kodambakkam,Quick Bites,Average,3.3,49
Mr. Pando's,350,"Chinese,North Indian",Chennai,Besant Nagar,Quick Bites,Good,3.6,43
S.S. Pandiyan Hotel,400,"South Indian,Chinese,Chettinad",Chennai,Poonamalle,Quick Bites,Good,3.7,75
Elite Foods,750,"North Indian,South Indian,Andhra,Chinese",Chennai,Avadi,Casual Dining,Average,2.9,52
Medli Kulfi,150,Desserts,Chennai,Chromepet,Dessert Parlor,Good,3.7,43
Chit Chat,500,"North Indian,Fast Food,Chinese",Chennai,Valasaravakkam,Quick Bites,Average,3.1,44
Friends Fast Food,200,South Indian,Chennai,Egmore,Quick Bites,Good,3.5,26
Desi Dhaba,450,North Indian,Chennai,Padur,Casual Dining,Good,3.8,55
Jayaram Mittai,250,"Mithai,Fast Food",Chennai,Chromepet,Sweet Shop,Good,3.6,52
Sri Annapoorna Andhra Mess,200,South Indian,Chennai,Tambaram,Mess,Good,3.6,46
Devamirthas,300,"Fast Food,South Indian,North Indian,Chinese",Chennai,Thiruvanmiyur,Quick Bites,Average,2.9,48
Hotel Parkway,400,"Chinese,North Indian,Biryani",Chennai,Tambaram,Quick Bites,Good,3.5,44
Ajmal Biriyani Center,200,Biryani,Chennai,Mylapore,Casual Dining,Good,3.6,60
Wow Rolls & Momo,350,"Tibetan,North Indian,Momos",Chennai,Potheri,Quick Bites,Good,3.5,49
The Kebab Paradise,200,"Kebab,Rolls",Chennai,Avadi,Quick Bites,Good,3.6,32
Hotel Akshaya,300,"South Indian,North Indian",Chennai,Kodambakkam,Casual Dining,Good,3.6,54
AL Hamra Family Restaurant,300,"South Indian,Chinese,Arabian",Chennai,Ambattur,Quick Bites,Average,3.2,51
Vibe,300,"Fast Food,Beverages",Chennai,RA Puram,Quick Bites,Good,3.7,13
My Cake Valley,500,Bakery,Chennai,Potheri,Bakery,Good,3.7,36
Om Snacks,150,"Fast Food,Sandwich",Chennai,Kodambakkam,Quick Bites,Good,3.5,41
Niviram Pizza Corner,200,"Pizza,Fast Food",Chennai,Nanganallur,Quick Bites,Average,3.1,48
Apple Restaurant - Hotel Apple Residency,500,"North Indian,South Indian,Chinese",Chennai,Triplicane,Casual Dining,Good,3.6,70
A Salad Company,350,Continental,Chennai,Kottivakkam,none,Good,3.7,34
Hot Chips & Chaat,400,"Street Food,Fast Food",Chennai,T. Nagar,Quick Bites,Good,3.6,33
Rajageetham Restaurant,400,"Biryani,South Indian,Chinese,Mughlai",Chennai,Pallavaram,Casual Dining,Average,2.8,44
Tandoori Tiruvizha,700,North Indian,Chennai,Ranga Residency-- Chengalpattu,Casual Dining,Average,2.8,39
Bhojan Chat,200,Street Food,Chennai,Vepery,Quick Bites,Average,3.3,8
City Food Court,400,"North Indian,South Indian,Chinese,Kerala",Chennai,Padur,Casual Dining,Average,2.9,62
Out of the Bottle,300,"Beverages,Desserts,Fast Food",Chennai,Gopalapuram,Beverage Shop,None,NEW,NEW
Vibes Burger,350,"Burger,Sandwich,Fast Food",Chennai,Tambaram,Quick Bites,Average,3.4,46
Swamy Cafe,200,South Indian,Chennai,Adambakkam,Quick Bites,Good,3.6,63
Mansuk's,500,"North Indian,Mithai,Fast Food,Street Food",Chennai,Purasavakkam,Quick Bites,Good,3.6,44
La Coupe,300,"Cafe,Bakery,Desserts",Chennai,Egatoor,Café,Average,3.4,33
Sahana Chettinadu Mess,200,South Indian,Chennai,Nungambakkam,Mess,Average,3.1,45
Twinkle Dipz,250,Desserts,Chennai,OMR Food Street-- Guduvancheri,Dessert Parlor,Good,3.8,35
Kutty's Restaurant,400,"North Indian,Chinese",Chennai,Nungambakkam,Quick Bites,Good,3.6,43
Star Biryani Centre,300,"Biryani,Fast Food",Chennai,GST Road,Quick Bites,Good,3.5,60
Fried N Fries,300,Fast Food,Chennai,GST Road,Quick Bites,Good,3.9,36
Luluva,650,"Arabian,North Indian,Chinese",Chennai,Vandalur,Casual Dining,Average,3.4,46
Hotel Ithiyas Bhavan,350,"South Indian,North Indian,Chinese",Chennai,Old Mahabalipuram Road (OMR),Casual Dining,Average,3.1,39
The Good Bowl,500,"Biryani,North Indian",Chennai,Kilpauk,none,Good,3.7,30
Kandy's,200,"Desserts,Beverages",Chennai,Pallikaranai,Dessert Parlor,Good,3.7,48
Taj Multi Cuisine Restaurant,300,"North Indian,Chinese",Chennai,Potheri,Casual Dining,Good,3.8,39
Malaysian Parotta,250,"South Indian,North Indian,Biryani",Chennai,Perungudi,Quick Bites,Average,3.3,36
Star Chicken Biryani,300,"Biryani,Chinese,North Indian",Chennai,Purasavakkam,Quick Bites,Average,3.4,49
Biryanee Bowl & Burmese Atho,200,"Biryani,Fast Food",Chennai,Ramapuram,Quick Bites,Good,3.7,46
Dine N Fun,400,"North Indian,Chinese",Chennai,Sholinganallur,Quick Bites,Good,3.7,33
Pandiyan Hotel,200,South Indian,Chennai,K.K. Nagar,Quick Bites,Average,3.4,48
Shri Ganesh Bhavan,500,"North Indian,South Indian",Chennai,K.K. Nagar,Casual Dining,Average,2.9,44
Curicrush,300,Beverages,Chennai,Besant Nagar,Beverage Shop,Good,3.6,31
Sri Padiyan Briyani,300,"Chinese,Biryani,North Indian",Chennai,Virugambakkam,Quick Bites,Good,3.5,63
The Rolling Kebab,300,"Kebab,Arabian",Chennai,Ambattur,Quick Bites,Average,3.4,54
