NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Abitha Biriyani Hotel,700,"Biryani,South Indian",Coimbatore,Ukkadam,Quick Bites,Excellent,4.6,446
Cock Ra Co,550,"North Indian,Chinese,South Indian",Coimbatore,RS Puram,Casual Dining,Very Good,4.2,491
Valarmathi Kongunaatu Samayal,450,"South Indian,Biryani",Coimbatore,Race Course,Casual Dining,Excellent,4.7,709
The Chocolate Room,650,"Cafe,Desserts",Coimbatore,RS Puram,Café,Excellent,4.9,358
The French Door Cafe & Restaurant,1500,"Cafe,Continental,French,North Indian,European",Coimbatore,RS Puram,Café,Excellent,4.7,429
Yugo,300,Cafe,Coimbatore,Lakshmi Mills,Café,Very Good,4.3,450
Zucca Pizzeria,700,"Pizza,Fast Food",Coimbatore,Saravanampatty,Casual Dining,Very Good,4.4,379
Dindigul Venu Biryani,500,Biryani,Coimbatore,Lakshmi Mills,Quick Bites,Very Good,4.0,349
Eleven 2 Eleven,600,"Chinese,North Indian,Seafood,South Indian",Coimbatore,Peelamedu,Casual Dining,Very Good,4.1,279
Hotel Delhi Dharbarr,500,"South Indian,Chinese,Biryani",Coimbatore,Peelamedu,Casual Dining,Very Good,4.0,444
Denmarrk Drive-Inn Restaurant,400,"North Indian,Chinese",Coimbatore,Nehru Stadium,Casual Dining,Very Good,4.1,320
Pizza Hut,600,Pizza,Coimbatore,Fun Republic Mall-- Avinashi Road,Casual Dining,Very Good,4.0,331
Classsic Biriyani Hut,200,"Healthy Food,South Indian,Chinese",Coimbatore,Ukkadam,Quick Bites,Very Good,4.3,96
Ammayi Veedu Pot Cook,400,Chettinad,Coimbatore,Gandhipuram,Casual Dining,Very Good,4.2,504
Domino's Pizza,400,"Pizza,Fast Food",Coimbatore,Peelamedu,Quick Bites,Good,3.9,488
Boom Cafe,650,Cafe,Coimbatore,Saibaba Colony,Café,Very Good,4.1,158
Burger King,500,"Burger,Fast Food",Coimbatore,Brookefields Mall-- RS Puram,Quick Bites,Good,3.9,143
Cocoabay,600,"Cafe,Bakery",Coimbatore,Saibaba Colony,Café,Good,3.9,127
Hotel Imperial,500,"North Indian,Chinese",Coimbatore,Saravanampatty,Casual Dining,Good,3.5,197
Idly Virundhu,200,South Indian,Coimbatore,Gandhipuram,Quick Bites,Good,3.9,120
The Great 80's Kitchen,300,"South Indian,North Indian,Chinese,Arabian,American",Coimbatore,Gandhipuram,Casual Dining,Good,3.7,110
Veera Biriyani Center,200,Biryani,Coimbatore,RS Puram,Quick Bites,Good,3.8,103
Kovai Biryani Hotel,550,"Biryani,South Indian",Coimbatore,RS Puram,Casual Dining,Good,3.6,197
Anjanan,300,South Indian,Coimbatore,RS Puram,Quick Bites,Average,3.3,158
ID,500,South Indian,Coimbatore,Brookefields Mall-- RS Puram,Casual Dining,Very Good,4.0,123
Green Leaf Restaurant,800,"North Indian,Chinese,South Indian,Grill,Arabian",Coimbatore,Kalapatti,Casual Dining,Good,3.9,139
Subway,500,"Healthy Food,Salad,Sandwich",Coimbatore,Ramanathapuram,Quick Bites,Very Good,4.1,123
ibaco,300,"Ice Cream,Desserts",Coimbatore,Peelamedu,Dessert Parlor,Very Good,4.0,109
China V'lley Chinese Restaurant,500,"Chinese,Momos",Coimbatore,Ramanathapuram,Casual Dining,Good,3.7,112
MI - Pizza,200,Italian,Coimbatore,Vadavalli,Quick Bites,Good,3.7,99
Kongu Masala,400,South Indian,Coimbatore,Race Course,Casual Dining,Good,3.8,140
The Belgian Waffle Co.,400,"Desserts,Beverages",Coimbatore,Peelamedu,Dessert Parlor,Good,3.7,43
Tiffinys,800,"North Indian,Chinese,Chettinad",Coimbatore,Hotel Alankara Grand-- Nehru Stadium,Casual Dining,Good,3.6,185
The Budapest Bakehouse,350,"Desserts,Fast Food",Coimbatore,Peelamedu,Café,Good,3.9,30
Dil Se,500,"North Indian,South Indian",Coimbatore,RS Puram,Casual Dining,Good,3.6,108
Kattappas,600,"Chettinad,Kerala,South Indian,Street Food",Coimbatore,Saibaba Colony,Casual Dining,Good,3.7,136
Royal Biriyani House,300,"Biryani,Arabian,Chinese,Indian,BBQ,Charcoal Chicken,Grill,Kebab",Coimbatore,Vadavalli,Quick Bites,Average,2.9,191
Sri Ganapathy Mess,200,"South Indian,Fast Food",Coimbatore,Peelamedu,Mess,Good,3.9,91
Salem Ravichandran Tiffin House,150,South Indian,Coimbatore,RS Puram,Quick Bites,Very Good,4.1,98
Hotel Brother's,200,Biryani,Coimbatore,Gandhipuram,Quick Bites,Good,3.7,123
Hotel Muthu Rowther - Biryani Hut,350,"Biryani,South Indian,Grill,BBQ,Indian,Middle Eastern,Seafood",Coimbatore,RS Puram,Quick Bites,Good,3.9,159
Vetrivel Mess,250,South Indian,Coimbatore,Peelamedu,Mess,Very Good,4.1,68
Chai n Gupshup,250,"Cafe,Fast Food,Beverages,Coffee,Tea",Coimbatore,RS Puram,Café,Very Good,4.0,128
Trupthi Kaapi & Chapthi Corner,100,"Cafe,South Indian",Coimbatore,Peelamedu,Café,Good,3.5,84
Shree Aksshayam,700,South Indian,Coimbatore,Peelamedu,Casual Dining,Very Good,4.1,91
Sree Annapoorna Sree Gowrishankar Hotels,350,South Indian,Coimbatore,Town Hall,Quick Bites,Very Good,4.1,117
007 Punjabi Dhaba,500,"Asian,Afghan",Coimbatore,Ukkadam,Quick Bites,Very Good,4.3,120
GoParatha,250,North Indian,Coimbatore,Lakshmi Mills,none,Very Good,4.1,92
Pizza Paradise,300,Fast Food,Coimbatore,RS Puram,Quick Bites,Very Good,4.0,95
Blenders Inc.,250,"Beverages,Desserts",Coimbatore,RS Puram,Beverage Shop,Very Good,4.0,115
Hotel Sri Surya,600,"Chinese,South Indian,North Indian",Coimbatore,Ramanathapuram,Casual Dining,Good,3.7,136
House of Pizzas,500,Pizza,Coimbatore,Thudiyalur,Quick Bites,Average,3.2,87
Burmy Food,200,Burmese,Coimbatore,Peelamedu,Quick Bites,Good,3.9,81
Chocko Choza,600,"Bakery,Desserts,Cafe",Coimbatore,RS Puram,Bakery,Good,3.8,86
Valar Chicken,300,"Chinese,South Indian",Coimbatore,RS Puram,Quick Bites,Good,3.7,104
Annalakshmi,800,South Indian,Coimbatore,Race Course,Casual Dining,Good,3.9,97
Chettinattu Keda Virunthu,300,Chettinad,Coimbatore,Ramanathapuram,Quick Bites,Average,2.7,86
LFC,350,Fast Food,Coimbatore,Ramanathapuram,Quick Bites,Very Good,4.0,103
Bakeroe,150,"Desserts,Bakery",Coimbatore,Race Course,Dessert Parlor,Very Good,4.3,86
My Place Food Station,250,"South Indian,Chinese,North Indian",Coimbatore,Peelamedu,Quick Bites,Very Good,4.1,103
Nin Hao,800,"Chinese,Seafood",Coimbatore,Saibaba Colony,Casual Dining,Good,3.8,81
The London Shakes,400,"Beverages,Fast Food",Coimbatore,Saibaba Colony,Beverage Shop,Very Good,4.0,94
Hotel Suvaiagam,300,South Indian,Coimbatore,Sitra,Casual Dining,Good,3.6,85
Fakhri Fast Food,300,Fast Food,Coimbatore,Peelamedu,Quick Bites,Good,3.8,44
SMS Hotel,600,"North Indian,South Indian,Chinese,Beverages",Coimbatore,RS Puram,Casual Dining,Good,3.7,82
Byte A Bit,300,Fast Food,Coimbatore,Singanallur,Food Truck,Good,3.6,73
Cafe Coffee Day,650,"Cafe,Fast Food",Coimbatore,Race Course,Café,Very Good,4.0,78
Food Court - Holiday Residency,600,"Kerala,North Indian,Seafood",Coimbatore,Saravanampatty,Casual Dining,Average,3.4,69
3 Monkey's Cafe,350,"Burger,Beverages,Cafe,Desserts,Sandwich,Pizza,Ice Cream,Coffee",Coimbatore,Saibaba Colony,Café,Good,3.5,79
Royal Love Cafe,500,Cafe,Coimbatore,Peelamedu,Café,Good,3.9,68
RHR Restaurant,300,"South Indian,North Indian,Chinese,Desserts,Juices",Coimbatore,Peelamedu,Quick Bites,Average,3.0,69
Crazy Kebabz,200,Kebab,Coimbatore,Nehru Stadium,Quick Bites,Good,3.6,67
Glacier Park,250,"Ice Cream,Fast Food",Coimbatore,Gandhipuram,Dessert Parlor,Good,3.8,77
Grill Inn,500,Fast Food,Coimbatore,Ganapathy,Quick Bites,Good,3.9,121
Mud Pot,300,South Indian,Coimbatore,Saravanampatty,Casual Dining,Average,3.4,96
Agarwal's The Sweet Shop,250,"Mithai,Street Food,North Indian",Coimbatore,RS Puram,Sweet Shop,Good,3.9,59
Sri Amman Mess,200,South Indian,Coimbatore,Peelamedu,Quick Bites,Very Good,4.0,120
Thambiyannan Biriyani Hotel,450,"Biryani,South Indian",Coimbatore,Gandhipuram,Quick Bites,Average,3.0,123
Paarampariyam Unavagam,700,"Seafood,North Indian,South Indian",Coimbatore,Vadavalli,Casual Dining,Average,3.3,54
Hifive Cafe,300,"Cafe,Bakery",Coimbatore,Saravanampatty,Café,Good,3.9,34
Hotel Imperial,500,"Chinese,North Indian",Coimbatore,Saravanampatty,Quick Bites,Average,3.4,92
Sree Velu Biriyani,500,"Biryani,North Indian,Chinese,Seafood",Coimbatore,Ganapathy,Casual Dining,Average,3.2,60
Ambur Star Biriyani,250,Biryani,Coimbatore,RS Puram,Quick Bites,Good,3.7,60
7th Heaven Cake Shop,250,"Bakery,Desserts",Coimbatore,Peelamedu,Bakery,Good,3.6,55
Cream Stone,300,"Desserts,Ice Cream",Coimbatore,RS Puram,Dessert Parlor,Very Good,4.0,74
La Palette,650,"Cafe,Continental,Italian,Burger,Desserts",Coimbatore,Saibaba Colony,Café,Good,3.9,59
The Punjab Express,500,North Indian,Coimbatore,RS Puram,Quick Bites,Average,3.0,59
Bombayy Chaats,350,Fast Food,Coimbatore,RS Puram,none,Good,3.9,85
S.K Spices,500,"South Indian,North Indian,Biryani",Coimbatore,Gandhipuram,Casual Dining,Good,3.6,74
Velan Kaappi,100,Beverages,Coimbatore,RS Puram,Beverage Shop,Very Good,4.0,53
Akshaya Park Restaurant,600,"North Indian,Arabian,Chinese",Coimbatore,Thudiyalur,Casual Dining,Average,2.7,116
Hopes Cafe,300,"Fast Food,Cafe",Coimbatore,Peelamedu,Quick Bites,Average,3.3,22
Richy Rich,250,"Ice Cream,Desserts,Fast Food",Coimbatore,Race Course,Dessert Parlor,Very Good,4.0,69
Haji Ravuthar Biriyani,400,"Biryani,North Indian",Coimbatore,Ganapathy,Quick Bites,Average,2.6,63
Taj Kairali Restaurant,300,"South Indian,Chinese",Coimbatore,Saravanampatty,Quick Bites,Good,3.7,38
Ayyappa's Pearl Veg Restaurant,300,"South Indian,North Indian,Chinese",Coimbatore,Kavundampalayam,Casual Dining,Good,3.6,36
Cane 4U,150,"Juices,Beverages",Coimbatore,Ramanathapuram,Beverage Shop,Good,3.9,34
Aasife Biriyani,800,"North Indian,Chinese,Biryani,Mughlai,Seafood",Coimbatore,Saravanampatty,Casual Dining,Good,3.6,50
Sri Mookambika Mess,300,North Indian,Coimbatore,RS Puram,Mess,Good,3.6,45
Srree Krishna Hotel,500,Fast Food,Coimbatore,Vadavalli,Quick Bites,Good,3.8,62
Thinaiyamuthu Millet Restaurant,400,South Indian,Coimbatore,Ramanathapuram,Casual Dining,Poor,2.4,30
Nanjai Virundhu,1100,South Indian,Coimbatore,Ramanathapuram,Casual Dining,Good,3.7,63
CK'S Bakery,150,"Bakery,Sandwich,Beverages,Desserts",Coimbatore,Saibaba Colony,Bakery,Good,3.8,32
Dot.Yum - Hotel Aloft Coimbatore,1500,"North Indian,Continental,Chinese,South Indian",Coimbatore,Hotel Aloft Coimbatore,Casual Dining,Good,3.6,63
