NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Blast,500,"North Indian,Chinese",Cuttack,Siba Bazaar,Casual Dining,Good,3.8,810
New Mughlai,500,"North Indian,Chinese,Biryani,Rolls",Cuttack,Siba Bazaar,Quick Bites,Good,3.7,687
Bawarchi Restaurant,400,"North Indian,Chinese,Biryani",Cuttack,Siba Bazaar,Quick Bites,Good,3.7,366
Sher E Punjab,400,"North Indian,Chinese",Cuttack,Sutahat,Casual Dining,Good,3.7,366
Faltu Restaurant,700,"Chinese,Indian,North Indian",Cuttack,Mal Godown Market,Casual Dining,Good,3.6,277
The Cocktail,500,"North Indian,Chinese,Continental",Cuttack,Police Colony,Casual Dining,Good,3.9,252
Domino's Pizza,500,"Pizza,Fast Food",Cuttack,Siba Bazaar,Quick Bites,Good,3.6,511
The Chocolate Room,600,"Cafe,Desserts",Cuttack,Siba Bazaar,Café,Good,3.6,182
DFC Dada's Biryani,400,"Biryani,Chinese,North Indian",Cuttack,Buxi Bazaar,Casual Dining,Good,3.8,372
Hashim's,800,"Biryani,Indian,Mughlai",Cuttack,CDA Sector 6,Casual Dining,Good,3.7,384
Filmy Food Restaurant,600,"North Indian,Chinese",Cuttack,CDA Sector 6,Casual Dining,Good,3.6,438
Pizza Station,400,Bakery,Cuttack,Police Colony,Quick Bites,Good,3.6,158
Mirchi,500,"North Indian,Chinese",Cuttack,Buxi Bazaar,Quick Bites,Good,3.7,213
Dragon Inn,300,"Chinese,Momos",Cuttack,Buxi Bazaar,Casual Dining,Good,3.6,197
Dexter's,500,"Chinese,North Indian,Kebab",Cuttack,CDA Sector 6,Casual Dining,Good,3.8,345
Jazz Inn,1200,"Cafe,Fast Food",Cuttack,Siba Bazaar,Café,Average,3.1,33
Hotel Ankit,300,"Fast Food,North Indian",Cuttack,Siba Bazaar,Quick Bites,Good,3.5,24
Riveria - The Blue Lagoon Premium,850,"North Indian,South Indian,Continental",Cuttack,Bidanasi,Casual Dining,Average,3.3,40
Zio Restaurant,1000,Chinese,Cuttack,Siba Bazaar,Casual Dining,Average,3.3,53
Roshni Bar & Restaurant,500,"South Indian,North Indian,Chinese",Cuttack,Kalyani Nagar,Quick Bites,Average,3.2,24
Courtyard,700,Cafe,Cuttack,Bidanasi,Café,Average,3.3,20
