NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Doon Darbar,500,"North Indian,Mughlai",Dehradun,Paltan Bazaar,Casual Dining,Very Good,4.2,1026
Gaylord Xpress,200,Fast Food,Dehradun,Paltan Bazaar,Quick Bites,Good,3.9,627
Mannu Fast Food,250,"Fast Food,North Indian,Chinese",Dehradun,Raipur,Quick Bites,Very Good,4.3,321
Walk In Woods,800,"North Indian,Pizza,Chinese,Mughlai",Dehradun,Chironwali,Casual Dining,Very Good,4.3,405
Burger King,500,"Burger,Fast Food",Dehradun,Pacific Mall-- Jakhan,Quick Bites,Very Good,4.1,324
Domino's Pizza,700,"Pizza,Fast Food",Dehradun,Rajpur,Quick Bites,Good,3.8,396
Punjab Grill,1250,"Mughlai,North Indian",Dehradun,Jakhan,Casual Dining,Excellent,4.7,804
Chicago BR,500,"Rolls,Momos,North Indian,Fast Food,Pizza,Desserts",Dehradun,Karanpur,Quick Bites,Very Good,4.1,286
The Great Indian Pub,1200,"North Indian,Italian,Finger Food",Dehradun,Jakhan,Casual Dining,Very Good,4.4,309
Black Pepper Restaurant,1000,"North Indian,Chinese,Continental",Dehradun,Karanpur,Casual Dining,Very Good,4.1,422
Super Donuts,400,"American,Fast Food,Desserts,Cafe,Italian,Sandwich,Wraps,Burger",Dehradun,Hathibarkala Salwala,Dessert Parlor,Very Good,4.4,237
Chilli'z,500,"Mughlai,North Indian,Chinese",Dehradun,Dharampur,Casual Dining,Very Good,4.0,241
Mughal Darbar,500,"North Indian,Biryani",Dehradun,Paltan Bazaar,Quick Bites,Good,3.9,176
Town Table Restaurant,1800,"North Indian,Chinese,Continental",Dehradun,Hathibarkala Salwala,Fine Dining,Very Good,4.2,310
Infamous Bistro & Bar,500,Cafe,Dehradun,Jakhan,Café,Very Good,4.1,272
Ali's Non Vegetarian Restaurant,500,North Indian,Dehradun,Karanpur,Quick Bites,Good,3.6,112
Grill Zone,250,"South Indian,Continental,Bakery,Ice Cream",Dehradun,Subhash Nagar,Quick Bites,Average,3.4,58
New Jassi Restaurant,400,"North Indian,Chinese",Dehradun,Race Course,Quick Bites,Good,3.7,81
Sethi's Food Corner,350,Fast Food,Dehradun,Paltan Bazaar,Quick Bites,Good,3.9,92
The Doon Jaayaka,150,"North Indian,Fast Food",Dehradun,Balliwala,Quick Bites,Good,3.6,83
Bhura Chicken Corner,500,North Indian,Dehradun,Race Course,Casual Dining,Good,3.8,91
Aangan Restaurant & Bar,1000,"North Indian,Chinese",Dehradun,Karanpur,Fine Dining,Good,3.9,93
3 Pyramids,1000,"Italian,Continental,Chinese",Dehradun,Hathibarkala Salwala,Lounge,Good,3.8,108
Dope,400,"North Indian,Fast Food",Dehradun,Rajpur,Food Truck,Good,3.9,82
Goli Vada Pav No. 1,150,Street Food,Dehradun,Jakhan,Quick Bites,Very Good,4.1,84
Café NH 72,800,"Cafe,Beverages",Dehradun,Prem Nagar,Café,Average,3.0,56
Kolkata's Lazeez Kathi Rolls,250,"North Indian,Rolls",Dehradun,Paltan Bazaar,Quick Bites,Good,3.5,62
Ladpur Restaurant,300,"Chinese,North Indian",Dehradun,Raipur,Quick Bites,Good,3.7,44
Singh Soup Bar,150,Fast Food,Dehradun,Hathibarkala Salwala,Quick Bites,Good,3.5,68
Woods Grill Lounge & Cafe,800,"Cafe,Continental,Chinese,North Indian,Italian",Dehradun,Dharampur,Café,Average,3.3,78
Oggy & Dobby Cafe,250,Fast Food,Dehradun,Jakhan,Quick Bites,Good,3.5,28
Moti Mahal Restaurant,1000,"North Indian,Rajasthani",Dehradun,Race Course,Casual Dining,Good,3.6,114
Perfect Cravings,250,"Bakery,Desserts",Dehradun,Paltan Bazaar,Bakery,Good,3.8,29
Lemon Chilli Family Restaurant,600,North Indian,Dehradun,Race Course,Casual Dining,Good,3.8,66
Standard Bakery The Corner Shop,200,"Fast Food,Desserts,Bakery",Dehradun,Garhi Cantt,Dessert Parlor,Average,3.4,16
Fresho,250,North Indian,Dehradun,Jakhan,Quick Bites,Good,3.7,49
Daddy's Restaurant,500,North Indian,Dehradun,Jakhan,Dhaba,Good,3.8,65
Laxmi Bakers,100,"Bakery,Fast Food",Dehradun,Morowala,Quick Bites,Average,3.4,16
Sammaan Restaurant,400,North Indian,Dehradun,Race Course,Casual Dining,Good,3.8,70
Amritsari Express,750,North Indian,Dehradun,Pacific Mall-- Jakhan,Quick Bites,Good,3.8,90
All Day Breakfast,200,"Fast Food,Bakery,North Indian",Dehradun,Chukkuwala,Bakery,Good,3.6,52
The Connoisseur,700,"Chinese,Indian,North Indian,Mughlai",Dehradun,Malsi,Quick Bites,Good,3.9,47
Unique Brew Cafe,700,"Sandwich,Fast Food,Burger,Pizza",Dehradun,Subhash Nagar,Quick Bites,Good,3.6,28
Pizza Italia,350,"Pizza,Fast Food",Dehradun,Chironwali,Quick Bites,Good,3.5,39
The Nest Kitchen & Dining,350,"Indian,Chinese,Fast Food",Dehradun,Chironwali,Casual Dining,Good,3.7,27
Karishma Foods,350,"North Indian,Chinese",Dehradun,Dharampur,Quick Bites,Good,3.7,42
Reggae Chilli,800,"North Indian,Chinese,Italian,Fast Food",Dehradun,Chironwali,Casual Dining,Good,3.5,54
SPS Rana Family Restaurant (KAKU),150,North Indian,Dehradun,Dharampur,Quick Bites,None,NEW,NEW
Punjabi Foods,200,"Indian,Mughlai,Chinese",Dehradun,Hathibarkala Salwala,Quick Bites,Average,3.4,89
Ohh My Food,250,Fast Food,Dehradun,Balliwala,Quick Bites,Average,3.4,58
Cafe Doonga Central,300,Cafe,Dehradun,Karanpur,Café,Good,3.6,24
Lala Jee's Angeethi,300,"North Indian,Chinese",Dehradun,Paltan Bazaar,none,Good,3.9,60
Hot Plate Restro,250,"North Indian,Chinese",Dehradun,Ballupur,Quick Bites,Good,3.5,35
Guts & Glory Cafe & Restro,600,"Cafe,Fast Food,North Indian,Chinese",Dehradun,Malsi,Café,Very Good,4.1,23
Doon Bakers and Confectioners,200,"Bakery,Desserts,Fast Food",Dehradun,Paltan Bazaar,Bakery,Good,3.5,22
Van Dough Pizzeria,900,Pizza,Dehradun,Dharampur,none,Good,3.6,35
Burger & Fast Food Corner,100,"Fast Food,North Indian",Dehradun,Dharampur,Quick Bites,Average,2.9,16
Gazebo Restaurant & Party Lawn,800,"North Indian,Chinese,Continental,Mughlai",Dehradun,Rajpur,Casual Dining,Good,3.6,33
Yummies Fast Food,250,Fast Food,Dehradun,Dharampur,Quick Bites,Good,3.5,59
Melt - Hotel Saffron Leaf,1000,"North Indian,Chinese,Finger Food",Dehradun,Kaonli,Casual Dining,Good,3.6,39
Chanchal Restaurant,550,"Street Food,Mithai,Chinese,North Indian",Dehradun,Dharampur,Sweet Shop,Good,3.5,63
Ginger and Grape,800,"North Indian,Chinese",Dehradun,Chukkuwala,Casual Dining,Good,3.6,39
Lazezz Kathi Roll From Kolkata's,120,Rolls,Dehradun,Ballupur,Quick Bites,Good,3.7,24
Ambrosia,1200,"North Indian,Continental,Chinese",Dehradun,Chukkuwala,Casual Dining,Average,3.4,56
Al Baik Chicken,200,Fast Food,Dehradun,Balliwala,Quick Bites,Very Good,4.1,58
New Dana Pani Restaurant,500,"North Indian,Chinese",Dehradun,Majra,Casual Dining,Good,3.6,34
Doon Tripple Nine,600,"North Indian,Chinese",Dehradun,Krishna Nagar,Casual Dining,Good,3.8,88
H.U.H Hold Ur Hunger,500,Cafe,Dehradun,Subhash Nagar,Café,Good,3.5,35
Kalra Sweet Shop,150,"Street Food,Mithai,Fast Food",Dehradun,Prem Nagar,Sweet Shop,Average,3.4,33
Kumar Foods Restaurant,800,"North Indian,Chinese,Continental",Dehradun,Chukkuwala,Casual Dining,Good,3.8,88
Oxygin Lounge & Bistro,0,"North Indian,Chinese,Continental,Lebanese",Dehradun,Hathibarkala Salwala,Casual Dining,None,NEW,NEW
The Urban Pendu Cafe,1200,Cafe,Dehradun,Subhash Nagar,Café,Good,3.6,37
