NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Domino's Pizza,400,"Pizza,Fast Food",Dharamshala,Ram Nagar,Quick Bites,Average,3.4,74
Food Safari,200,"Fast Food,Wraps,Beverages,Kebab",Dharamshala,Ram Nagar,Food Truck,None,NEW,NEW
Bhagsu Fast Food,200,Fast Food,Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Sher e Punjab kala Momo Shop,300,North Indian,Dharamshala,Ram Nagar,Quick Bites,Average,3.3,22
Food Plaza Restaurant,500,"North Indian,Chinese,South Indian",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Melted Cheese Cafe,300,"Continental,Italian",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Surya Punjabi Vaishno Dhaba,200,North Indian,Dharamshala,Ram Nagar,Bhojanalya,Average,3.3,7
Buttercup Restaurant & Bar,800,"Chinese,Continental,North Indian,Tibetan",Dharamshala,Chilgari,Casual Dining,Average,3.2,9
Vinod Chat Bhandar,300,"Chinese,North Indian,South Indian",Dharamshala,Ram Nagar,Quick Bites,Average,3.2,8
Dum Handi,200,North Indian,Dharamshala,Ram Nagar,none,None,NEW,NEW
My Kitchen Bhutanese Restaurant,350,"North Eastern,Fast Food",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Krazy Hunger,300,Fast Food,Dharamshala,Ram Nagar,Quick Bites,Average,3.2,7
Moti Mahal Delux,300,North Indian,Dharamshala,Ram Nagar,Quick Bites,None,NEW,NEW
Mountain Pick,500,"North Indian,Pizza,Sandwich,Chinese,Beverages",Dharamshala,Chilgari,Food Court,None,NEW,NEW
Roast And Fry,350,"North Indian,Chinese,South Indian",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Dhauladhar Heights,300,"North Indian,Chinese",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Sharma's Bakers,250,"Bakery,Desserts",Dharamshala,Ram Nagar,Bakery,Average,3.2,10
Pepper - N - Salt,800,"North Indian,Chinese,Fast Food,Beverages",Dharamshala,Chilgari,Casual Dining,Average,3.2,11
The London Shakes,200,"Beverages,Desserts",Dharamshala,Ram Nagar,Beverage Shop,None,NEW,NEW
Shiva Drink & Dine Restaurant,300,"North Indian,Chinese,South Indian",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
City Heart Restaurant,800,"South Indian,Chinese,North Indian",Dharamshala,Ram Nagar,Casual Dining,Average,3.3,6
Mr. Idli Grab n Go,500,South Indian,Dharamshala,Chilgari,Food Court,Not rated,-,-
Tibetan Cafe,300,Tibetan,Dharamshala,Ram Nagar,Quick Bites,Not rated,-,-
Walia Taste Point,120,Fast Food,Dharamshala,Ram Nagar,Dhaba,Not rated,-,-
Aman Food Court Family Restaurant,700,North Indian,Dharamshala,Mcleodganj,Casual Dining,None,NEW,NEW
Baskin Robbins,200,Ice Cream,Dharamshala,Chilgari,Food Court,Not rated,-,-
Vinod Chat Bhandar,200,"Chinese,North Indian,South Indian",Dharamshala,Ram Nagar,Quick Bites,Average,3.2,5
Strings Café,300,Beverages,Dharamshala,Chilgari,Beverage Shop,Not rated,-,-
Surya Cake & Cookies,200,Bakery,Dharamshala,Chilgari,Bakery,Not rated,-,-
Imperial9,600,"Chinese,North Indian,South Indian",Dharamshala,Ram Nagar,Casual Dining,Not rated,-,-
Joyful Cafe,500,Cafe,Dharamshala,Ram Nagar,Café,Not rated,-,-
Mc'llo Bakers & Ladies Venture,300,North Indian,Dharamshala,Chilgari,none,None,Opening,Opening
The Mustard Door,500,"North Indian,Fast Food",Dharamshala,Gamru,Casual Dining,Average,3.2,5
Food Paradise,600,"Bakery,Chinese,North Indian",Dharamshala,Chilgari,Casual Dining,Not rated,-,-
Dhasa Kitchen,650,"North Indian,Chinese",Dharamshala,Chilgari,Quick Bites,Not rated,-,-
Sagar Ratna,300,"North Indian,South Indian,Chinese",Dharamshala,Chilgari,Quick Bites,None,NEW,NEW
Jannat,350,Fast Food,Dharamshala,Ram Nagar,Quick Bites,None,NEW,NEW
Le Café Restro,400,"Chinese,North Indian",Dharamshala,Ram Nagar,Quick Bites,None,NEW,NEW
Monal Restaurant,350,"North Indian,Chinese,South Indian,Fast Food",Dharamshala,Ram Nagar,Casual Dining,Not rated,-,-
R Square Restaurant,200,North Indian,Dharamshala,Chilgari,none,None,NEW,NEW
Mid Town Restaurant,400,"North Indian,Chinese",Dharamshala,Ram Nagar,Casual Dining,Average,3.2,7
Park Café Restaurant,700,North Indian,Dharamshala,Chilgari,Bar,Not rated,-,-
The Dhaulladhar,800,"North Indian,Himachali,South Indian,Continental,Chinese",Dharamshala,Chilgari,Casual Dining,Average,3.2,6
The Town Chef,200,North Indian,Dharamshala,Ram Nagar,Quick Bites,Not rated,-,-
Addiction Cafe,200,"Beverages,Fast Food",Dharamshala,Mcleodganj,Beverage Shop,None,NEW,NEW
Jai Hotel & Restaurant,350,"North Indian,Chinese",Dharamshala,Ram Nagar,Quick Bites,Not rated,-,-
The Town Chef,200,North Indian,Dharamshala,Ram Nagar,Quick Bites,Not rated,-,-
"STAY n"" EAT""",800,"North Indian,South Indian,Chinese",Dharamshala,Mcleodganj,Casual Dining,None,NEW,NEW
The Sky High,700,"Italian,Israeli,North Indian",Dharamshala,Mcleodganj,Casual Dining,None,NEW,NEW
The Arman's,500,"North Indian,Chinese",Dharamshala,Ram Nagar,Casual Dining,None,NEW,NEW
