_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""The Salt Cafe Kitchen & Bar""","""1000""","""North Indian,Continental,Italian""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/the-salt-cafe-kitchen-bar-tajganj/info""","""1""","""Casual Dining""","""1130am to 1130pm(Mon-Sun)""","""Excellent""","""4.8""","""273"""
"""Bhagat Halwai""","""300""","""Desserts,Bakery,Fast Food,South Indian""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/bhagat-halwai-civil-lines/info""","""1""","""Quick Bites""","""730am to 11pm(Mon-Sun)""","""Very Good""","""4.3""","""554"""
"""Bikanervala""","""700""","""North Indian,South Indian,Mithai,Street Food,Desserts""","""Agra""","""Khandari""","""https://www.zomato.com/agra/bikanervala-khandari/info""","""1""","""Quick Bites""","""8am to 11pm(Mon-Sun)""","""Very Good""","""4.4""","""645"""
"""Mama Chicken Mama Franky House""","""600""","""North Indian,Mughlai,Rolls,Chinese,Fast Food,Street Food""","""Agra""","""Agra Cantt""","""https://www.zomato.com/agra/mama-chicken-mama-franky-house-agra-cantt/info""","""1""","""Quick Bites""","""1230pm to 12midnight(Mon,Wed,Thu,Fri,Sat...""","""Very Good""","""4.3""","""894"""
"""Honeydew Restaurant""","""500""","""North Indian,Fast Food,Chinese,South Indian""","""Agra""","""Dayal Bagh""","""https://www.zomato.com/agra/honeydew-restaurant-dayal-bagh/info""","""1""","""Quick Bites""","""11am to 1035pm(Mon,Tue,Wed,Fri,Sat),11am to ...""","""Very Good""","""4.1""","""489"""
"""Cafe Turquoise Cottage""","""1600""","""North Indian,Chinese,Continental,Italian,Pizza""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/cafe-turquoise-cottage-tajganj/info""","""1""","""Casual Dining""","""12noon to 1155pm(Mon-Sun)""","""Excellent""","""4.7""","""294"""
"""Hichkee""","""1200""","""Continental,North Indian,Chinese""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/hichkee-civil-lines/info""","""1""","""Casual Dining""","""4pm to 1am(Mon-Sun)""","""Very Good""","""4.4""","""581"""
"""Domino's Pizza""","""700""","""Pizza,Fast Food""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/dominos-pizza-civil-lines/info""","""1""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.9""","""583"""
"""Urban Deck""","""1000""","""Mexican,Italian,North Indian""","""Agra""","""Khandari""","""https://www.zomato.com/agra/urban-deck-khandari/info""","""1""","""Casual Dining""","""1pm to 12midnight(Mon-Sun)""","""Very Good""","""4.3""","""608"""
"""Pinch Of Spice""","""1600""","""North Indian,Chinese,Mughlai""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/pinch-of-spice-civil-lines/info""","""1""","""Casual Dining""","""12noon to 4pm,7pm to 1130pm(Mon-Sun)""","""Excellent""","""4.5""","""863"""
"""Pizza Hut""","""700""","""Italian,Pizza""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/pizza-hut-tajganj/info""","""1""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Very Good""","""4.0""","""547"""
"""Aahar""","""700""","""North Indian,South Indian,Chinese,Bakery,Momos""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/aahar-civil-lines/info""","""1""","""Casual Dining""","""10am to 11pm(Mon-Sun)""","""Very Good""","""4.0""","""368"""
"""Tea'se Me - Rooftop Tea Boutique""","""1000""","""Chinese,Italian,Continental,North Indian""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/tease-me-rooftop-tea-boutique-tajganj/info""","""1""","""Casual Dining""","""12noon to 1130pm(Mon-Sun)""","""Excellent""","""4.7""","""676"""
"""Shree Balaji Family Restaurant""","""400""","""North Indian,South Indian,Fast Food""","""Agra""","""Sikandra""","""https://www.zomato.com/agra/shree-balaji-family-restaurant-sikandra/info""","""1""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""254"""
"""GMB - Gopika Sweets & Restaurant""","""400""","""Desserts,North Indian,South Indian,Chinese,Fast Food,Street Food""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/gmb-gopika-sweets-restaurant-tajganj/info""","""1""","""Casual Dining""","""8am to 11pm(Mon-Sun)""","""Very Good""","""4.1""","""279"""
"""Kings Pizza And Burger""","""200""","""Fast Food""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/kings-pizza-and-burger-kamla-nagar/info""","""10""","""Quick Bites""","""1130am to 10pm(Mon-Sun)""","""Good""","""3.5""","""40"""
"""RS Sweets & Restaurant""","""650""","""North Indian,South Indian""","""Agra""","""Dayal Bagh""","""https://www.zomato.com/agra/rs-sweets-restaurant-dayal-bagh/info""","""10""","""Casual Dining""","""9am to 1030pm(Mon-Sun)""","""Good""","""3.7""","""79"""
"""Cake D'or""","""1600""","""Bakery,Desserts""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/cake-dor-civil-lines/info""","""10""","""Bakery""","""12noon to 10pm(Mon-Sun)""","""Very Good""","""4.1""","""53"""
"""Mirch  Lagi""","""100""","""North Indian""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/mirch-lagi-civil-lines/info""","""10""","""Quick Bites""","""10am to 9pm(Mon-Sun)""","""Good""","""3.7""","""50"""
"""Lakshmi Vilas""","""400""","""South Indian""","""Agra""","""Agra Cantt""","""https://www.zomato.com/agra/lakshmi-vilas-agra-cantt/info""","""10""","""Casual Dining""","""11am to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...""","""Good""","""3.7""","""65"""
"""Mughal Spice""","""1150""","""North Indian,Chinese,Continental""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/mughal-spice-tajganj/info""","""10""","""Casual Dining""","""830am to 930pm(Mon,Tue,Wed,Thu,Sat,Sun)...""","""Very Good""","""4.0""","""49"""
"""Cake House""","""300""","""Bakery""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/cake-house-kamla-nagar/info""","""10""","""Quick Bites""","""9am to 10pm(Mon-Sun)""","""Good""","""3.7""","""26"""
"""Chai Garam""","""200""","""Tea,Street Food""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/chai-garam-civil-lines/info""","""10""","""Quick Bites""","""12noon to 1030pm(Mon-Sun)""","""Average""","""3.4""","""54"""
"""The Global Savour""","""600""","""North Indian""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/the-global-savour-tajganj/info""","""10""","""Casual Dining""","""7am to 10pm(Mon-Sun)""","""Good""","""3.8""","""51"""
"""Preetam""","""100""","""Bakery""","""Agra""","""Dayal Bagh""","""https://www.zomato.com/agra/preetam-dayal-bagh/info""","""10""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""Good""","""3.6""","""56"""
"""Golden China Restaurant""","""800""","""Chinese""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/golden-china-restaurant-tajganj/info""","""10""","""Casual Dining""","""11am to 10pm(Mon-Sun)""","""Good""","""3.5""","""45"""
"""Delhi Darbar Restaurant""","""800""","""North Indian,Chinese""","""Agra""","""Rakabganj""","""https://www.zomato.com/agra/delhi-darbar-restaurant-rakabganj/info""","""10""","""Casual Dining""","""9am to 930pm(Mon-Sun)""","""Poor""","""2.4""","""45"""
"""Sadar Wala""","""100""","""Fast Food,Rolls""","""Agra""","""Shahganj""","""https://www.zomato.com/agra/sadar-wala-shahganj/info""","""10""","""none""","""5pm to 11pm(Mon-Sun)""","""Good""","""3.7""","""120"""
"""Jeetu Dhaba""","""300""","""North Indian""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/jeetu-dhaba-kamla-nagar/info""","""10""","""Dhaba""","""11am to 11pm(Mon-Sun)""","""Average""","""2.8""","""114"""
"""Pradeep Store""","""150""","""Fast Food""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/pradeep-store-kamla-nagar/info""","""10""","""Quick Bites""","""Closed(Mon-Tue),11am to 10pm(Wed-Sun)""","""Good""","""3.5""","""68"""
"""The Star Diner""","""300""","""North Indian,South Indian,Chinese""","""Agra""","""Agra Cantt""","""https://www.zomato.com/agra/the-star-diner-3-agra-cantt/info""","""11""","""Casual Dining""","""12noon to 1030pm(Mon-Sun)""","""Good""","""3.6""","""54"""
"""Restaurant Nukkar""","""200""","""North Indian""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/restaurant-nukkar-civil-lines/info""","""11""","""Casual Dining""","""9am to 530pm(Mon-Sat),Closed(Sun)""","""Good""","""3.7""","""59"""
"""D's Family Restaurant""","""600""","""North Indian,Chinese""","""Agra""","""Sikandra""","""https://www.zomato.com/agra/ds-family-restaurant-sikandra/info""","""11""","""Casual Dining""","""12noon to 1030pm(Mon-Sun)""","""Good""","""3.8""","""51"""
"""Desire Bakers""","""100""","""Bakery""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/desire-bakers-1-kamla-nagar/info""","""11""","""Bakery""","""10am to 930pm(Mon-Sun)""","""Good""","""3.8""","""48"""
"""Shri Thakur Ji Misthan Bhandar""","""150""","""Mithai""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/shri-thakur-ji-misthan-bhandar-1-kamla-nagar/info""","""11""","""Sweet Shop""","""6am to 10pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""New Agra Fast Food & Restaurant""","""250""","""North Indian""","""Agra""","""Agra Cantt""","""https://www.zomato.com/agra/new-agra-fast-food-restaurant-agra-cantt/info""","""11""","""Quick Bites""","""11am to 1030pm(Mon-Sun)""","""Good""","""3.7""","""42"""
"""Sips And Bites""","""250""","""Fast Food,Beverages,Italian""","""Agra""","""Shahganj""","""https://www.zomato.com/agra/sips-and-bites-shahganj/info""","""11""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""51"""
"""Chota Mama Chicken & Mama Veg""","""700""","""North Indian""","""Agra""","""Sikandra""","""https://www.zomato.com/agra/chota-mama-chicken-mama-veg-sikandra/info""","""11""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.0""","""111"""
"""Brijwasi  Sweets & Restaurant""","""300""","""Mithai,North Indian""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/brijwasi-sweets-restaurant-civil-lines/info""","""11""","""Quick Bites""","""9am to 10pm(Mon-Sat),7am to 824pm(Sun)""","""Average""","""3.4""","""37"""
"""Agarwal Sweets & Dairy""","""300""","""Desserts""","""Agra""","""Shahganj""","""https://www.zomato.com/agra/agarwal-sweets-dairy-shahganj/info""","""11""","""Dessert Parlor""","""8am to 10pm(Mon-Sun)""","""Good""","""3.8""","""15"""
"""Taj Mahal Family Restaurant""","""1000""","""North Indian,Mughlai""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/taj-mahal-family-restaurant-tajganj/info""","""11""","""Casual Dining""","""8am to 10pm(Mon-Sun)""","""Average""","""3.4""","""42"""
"""The Street Cafe And Bistro""","""300""","""Desserts,Fast Food""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/the-street-cafe-and-bistro-kamla-nagar/info""","""11""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Sai Khandelaa Restaurant""","""1000""","""North Indian,Chinese,Continental,Mughlai""","""Agra""","""Agra Cantt""","""https://www.zomato.com/agra/sai-khandelaa-restaurant-agra-cantt/info""","""11""","""Casual Dining""","""11am to 3pm,630pm to 1030pm(Mon-Sun)""","""Good""","""3.9""","""46"""
"""Pind Balluchi""","""1000""","""Mughlai,North Indian""","""Agra""","""Sikandra""","""https://www.zomato.com/agra/pind-balluchi-sikandra/info""","""11""","""Casual Dining""","""12noon to 1130pm(Mon-Sun)""","""Good""","""3.6""","""52"""
"""Biryani King""","""300""","""Biryani""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/biryani-king-kamla-nagar/info""","""11""","""Quick Bites""","""9am to 10pm(Mon-Sun)""","""Good""","""3.6""","""47"""
"""Taj Terrace - Hotel Taj Resorts""","""1000""","""North Indian,Continental,Chinese""","""Agra""","""Tajganj""","""https://www.zomato.com/agra/taj-terrace-hotel-taj-resorts-tajganj/info""","""12""","""Casual Dining""","""12noon to 4pm,630pm to 1030pm(Mon-Sun)""","""Good""","""3.9""","""24"""
"""Burger Point""","""100""","""Fast Food,Beverages""","""Agra""","""Sikandra""","""https://www.zomato.com/agra/burger-point-sikandra/info""","""12""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Millenium Motors and Cafe""","""220""","""Cafe""","""Agra""","""Dayal Bagh""","""https://www.zomato.com/agra/millenium-motors-and-cafe-dayal-bagh/info""","""12""","""Café""","""11am to 830pm(Mon-Sat),Closed(Sun)""","""Good""","""3.6""","""24"""
"""Amritsari Tandoori Kulcha Wa Choor Choor Naan""","""250""","""North Indian""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/amritsari-tandoori-kulcha-wa-choor-choor-naan-civil-lines/info""","""12""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""Good""","""3.7""","""29"""
"""Tongue Twister""","""150""","""Chinese""","""Agra""","""Kamla Nagar""","""https://www.zomato.com/agra/tongue-twister-1-kamla-nagar/info""","""12""","""none""","""4pm to 1030pm(Mon-Sun)""","""Good""","""3.7""","""29"""
"""Ambey Bakers""","""300""","""Bakery""","""Agra""","""Civil Lines""","""https://www.zomato.com/agra/ambey-bakers-civil-lines/info""","""12""","""Bakery""","""10am to 10pm(Mon-Sun)""","""Good""","""3.8""","""40"""
